Change Goal,Change Goal
0,0
0,0
0,7
0,8
1,10
6,10
10,12
22,16
36,22
52,35
59,53
71,70
84,90
95,103
107,110
109,117
113,119
114,120
114,124
114,127
116,130
116,132
116,132
116,132
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
116,133
