Exit Knowledge Spread,Exit Knowledge Spread
0,0
2,3
14,16
27,23
53,39
99,48
135,65
170,98
198,131
227,168
250,206
269,243
288,265
301,289
321,304
325,312
331,315
334,316
335,323
335,326
337,329
338,331
340,331
340,331
340,332
340,332
340,332
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
341,333
