Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire
0,0,0,0,0,0,0,0,0,0
144,211,221,146,219,242,124,194,146,135
235,333,410,229,360,432,256,289,258,232
365,433,573,354,514,567,384,467,411,356
504,573,617,518,604,613,475,562,541,462
594,615,621,604,621,620,545,611,600,576
617,620,621,621,621,621,593,621,617,615
621,621,621,621,621,621,617,621,621,621
621,621,621,621,621,621,620,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
621,621,621,621,621,621,621,621,621,621
