Agents Removed,Agents Removed
0,0
0,0
0,0
0,0
2,0
2,0
4,0
5,0
6,0
7,1
9,3
13,6
17,11
20,14
27,20
32,21
40,29
44,30
52,37
54,44
63,50
70,56
77,63
81,70
89,76
94,81
102,89
108,95
113,102
121,108
125,114
132,121
138,128
145,133
152,141
160,148
165,153
174,161
183,168
186,175
193,182
198,188
205,195
211,202
219,210
225,217
231,223
238,230
245,237
251,243
259,248
264,255
271,261
279,267
285,274
290,279
297,283
305,290
312,296
318,301
327,307
332,315
338,321
345,327
351,334
358,340
365,347
371,354
378,360
385,369
391,372
396,380
403,386
410,393
417,400
424,407
431,415
435,421
443,426
449,433
456,439
461,445
467,446
473,452
479,455
487,459
491,463
496,467
501,471
504,473
505,479
507,482
509,486
512,491
512,493
515,497
518,498
520,500
521,503
523,505
524,507
527,509
529,511
531,513
534,515
537,518
539,520
540,522
543,525
544,526
547,528
549,530
552,532
554,533
556,535
558,537
560,539
563,542
564,545
567,548
569,550
572,553
575,556
576,558
579,560
580,561
582,563
585,565
586,568
589,569
590,571
593,574
594,575
597,578
600,581
602,583
604,586
606,589
609,591
611,593
612,595
614,596
617,598
617,600
620,602
621,603
621,606
621,608
621,611
621,612
