Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal
0,0,0,0,0,0,0,0,0,0
379,356,357,382,373,337,365,367,367,380
471,475,463,463,487,485,491,474,457,505
587,600,586,572,587,602,600,592,575,606
613,621,616,615,620,619,620,612,620,619
618,621,619,621,621,621,620,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
619,621,620,621,621,621,621,621,621,619
