Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread
0,0,0,0,0,0,0,0,0,0
14,12,10,13,7,13,16,7,8,10
16,15,10,16,8,19,18,10,11,11
17,17,14,23,11,25,20,11,18,14
20,26,17,28,17,27,20,14,19,17
24,32,21,31,20,29,22,18,20,22
30,36,26,32,22,33,26,20,22,27
32,36,27,35,23,34,30,23,24,28
39,37,27,37,25,34,32,23,24,28
41,38,27,39,25,34,32,28,24,28
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
41,38,27,39,25,34,33,31,24,29
