Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed
0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,0,0
4,1,0,1,0,0,2,1,2,1
5,1,0,6,1,7,4,2,5,3
10,7,4,9,5,12,10,4,8,7
12,11,5,16,11,17,13,10,11,9
19,19,12,20,16,22,22,15,19,15
25,23,17,29,22,29,24,21,26,20
30,30,26,34,27,34,31,27,30,24
36,36,29,40,35,40,37,34,37,33
41,44,37,47,42,49,44,39,45,40
49,47,41,53,49,55,51,46,51,47
56,55,48,60,56,59,59,54,59,52
63,62,57,68,63,64,65,58,63,59
70,67,63,73,71,71,73,66,70,65
76,74,69,80,77,78,77,74,76,74
83,79,75,86,84,86,86,80,84,79
88,87,81,94,92,93,90,85,89,87
95,90,87,96,100,99,97,90,98,95
100,97,95,104,105,104,106,97,103,99
107,105,101,111,111,110,112,102,108,107
114,113,107,117,116,116,119,109,114,113
120,117,115,122,123,121,125,114,121,119
126,124,121,128,129,128,131,123,128,126
133,132,126,134,137,136,138,127,133,131
139,138,133,140,142,141,142,135,137,136
146,146,139,145,149,149,150,139,145,143
151,152,147,153,155,155,156,147,152,150
159,159,153,159,161,163,161,153,159,154
166,166,161,166,165,169,166,162,165,161
174,174,168,173,173,175,174,168,169,167
180,181,173,179,177,182,183,173,177,175
185,186,179,186,184,190,187,180,184,179
192,193,187,194,191,196,194,187,190,188
199,199,195,200,196,205,202,192,195,191
206,205,203,206,204,210,210,199,203,199
213,211,209,212,209,216,218,206,209,206
216,217,216,217,215,224,223,213,215,211
225,224,222,226,222,229,231,221,220,216
232,229,228,230,226,236,238,227,228,221
239,236,236,237,233,241,245,232,233,228
246,244,242,243,240,247,253,240,239,234
251,250,248,250,245,255,259,246,246,241
259,255,254,257,251,260,265,252,252,246
265,263,260,264,258,267,272,259,259,255
273,271,268,271,263,274,279,265,264,262
277,276,275,277,269,279,284,272,270,270
285,283,281,285,276,285,291,278,277,275
291,289,289,290,285,291,297,284,284,282
298,296,297,295,288,296,305,290,291,289
304,303,303,303,296,303,310,295,298,297
311,310,309,309,302,310,318,300,305,303
316,314,314,316,307,317,322,309,312,310
323,323,319,324,316,324,330,315,319,316
330,327,327,331,319,331,335,320,324,323
337,336,331,338,327,338,340,327,332,331
343,342,340,343,332,344,348,333,336,336
348,348,344,349,338,350,355,341,345,342
357,354,350,356,346,356,361,346,351,348
363,361,357,362,352,363,368,354,357,354
368,368,363,368,356,370,376,361,362,362
374,375,368,375,364,376,382,367,370,367
380,380,373,378,371,383,387,373,374,374
388,387,380,386,379,390,395,378,381,381
395,393,387,392,386,395,400,386,389,388
400,399,392,398,394,401,405,394,393,395
407,405,398,404,402,409,411,398,400,401
414,411,405,410,411,417,419,402,405,407
418,417,410,417,418,420,423,407,412,411
424,424,417,424,424,428,427,411,418,420
430,430,425,429,430,436,432,416,424,424
438,436,431,437,437,441,437,420,432,432
443,443,437,444,442,448,440,425,439,438
450,449,444,451,449,453,445,429,446,445
457,455,448,459,454,458,450,432,451,450
463,462,456,464,458,464,455,437,460,457
468,467,463,471,463,471,459,443,465,464
475,476,469,477,465,480,462,446,471,470
483,481,476,483,470,482,467,452,477,476
490,489,482,488,474,488,471,456,482,484
497,494,486,493,479,491,476,460,487,488
502,499,490,498,483,497,479,466,489,496
506,502,493,501,487,502,484,470,494,502
511,506,498,506,492,504,488,474,498,509
515,510,502,509,495,508,493,479,503,515
521,516,506,514,500,512,498,483,509,520
524,520,511,519,504,515,502,489,514,526
528,525,515,523,510,519,505,492,518,529
532,529,519,527,513,524,509,498,522,533
536,535,524,532,517,529,514,501,524,539
541,538,528,535,520,534,520,506,530,542
545,544,534,540,524,537,523,509,534,547
551,548,538,545,529,542,526,515,539,552
555,551,544,547,535,547,530,517,542,556
560,555,549,553,537,549,535,522,547,559
563,560,554,555,543,555,538,527,551,564
568,565,556,561,547,559,543,532,556,568
573,569,562,564,551,563,545,535,560,573
578,574,566,569,556,567,550,541,564,576
580,576,570,573,561,572,552,546,568,580
586,580,575,577,566,574,557,551,572,584
588,583,580,579,572,580,560,554,576,589
593,587,582,585,574,582,564,558,580,594
597,591,588,588,580,588,570,561,583,596
599,595,590,593,582,594,575,565,587,599
601,598,596,598,585,597,578,570,591,600
603,601,599,601,588,603,583,575,594,603
606,604,603,607,592,605,587,579,599,605
