2024-06-14 13:20:08,036|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:20:26,151|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:21:28,363|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:21:44,218|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:24:51,381|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:26:16,841|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:26:45,623|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:27:12,919|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:27:57,658|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:28:38,259|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:29:26,052|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:29:58,886|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:31:43,596|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:32:18,795|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:32:46,677|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:33:25,746|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:33:45,023|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:34:23,913|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:35:18,621|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:35:55,765|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:39:46,110|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:40:20,232|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:40:47,273|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:41:37,908|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:42:18,250|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:42:43,764|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:43:31,359|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:44:30,274|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:46:18,191|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:46:54,158|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:48:09,872|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:48:36,904|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:49:23,030|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:50:05,565|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:51:23,382|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:54:41,572|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:55:08,183|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:56:14,746|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:57:08,417|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:57:31,721|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 13:58:06,621|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 14:00:07,170|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 14:01:27,675|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 14:03:12,703|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
2024-06-14 14:04:03,930|WARNING:[animation.py:1049                 save() ] MovieWriter imagemagick unavailable; using Pillow instead.
