Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
11,6,12,6,6,8,12,3,2,3
16,14,14,13,10,17,17,4,5,5
16,16,19,13,11,18,19,4,8,9
18,16,21,13,13,22,21,5,9,9
19,16,22,14,15,23,22,5,10,9
20,16,22,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
20,16,23,15,15,24,22,5,10,10
