Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,7,0,0,0,0,4,0,0
0,0,9,0,3,0,0,6,0,3
0,0,10,0,4,4,3,9,3,4
1,2,10,1,4,7,7,12,4,4
2,4,14,1,7,7,8,13,6,6
4,8,14,4,8,10,9,13,8,8
4,9,14,4,8,11,10,13,10,9
6,9,14,5,8,11,10,14,12,10
6,11,14,5,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
6,12,14,6,8,11,10,14,12,12
