Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire
0,0,0,0,0,0,0,0,0,0
302,286,301,288,297,350,310,325,312,328
440,401,469,419,432,462,451,463,442,442
542,513,571,529,539,572,553,541,509,543
586,573,606,573,597,613,599,582,568,586
601,599,619,600,611,618,617,615,606,604
615,610,621,614,619,619,618,620,616,608
619,613,621,621,619,620,620,621,619,612
621,620,621,621,619,621,620,621,619,617
621,620,621,621,619,621,620,621,619,619
621,621,621,621,619,621,620,621,619,620
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
621,621,621,621,619,621,620,621,619,621
