Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,2,0,2,0,0,0,0,0,0
0,2,0,2,1,0,0,0,2,3
0,3,0,5,4,0,2,0,4,5
3,5,0,10,7,3,7,1,6,7
8,10,3,15,10,5,13,2,9,10
12,18,8,21,17,11,20,7,13,18
19,22,15,27,23,17,27,14,18,21
25,30,18,33,27,22,32,21,23,29
32,37,25,38,36,28,40,25,27,36
39,44,31,46,38,37,47,33,34,40
46,51,36,51,47,42,53,40,41,47
50,56,43,59,54,48,61,46,48,53
58,64,51,62,58,55,67,52,52,59
64,68,54,71,64,62,74,59,60,65
71,74,61,73,70,69,82,64,63,71
77,83,69,81,75,74,89,73,71,77
85,88,71,87,82,81,95,80,79,84
92,94,80,95,90,87,101,85,82,91
100,101,88,100,95,95,110,94,89,98
106,109,94,108,100,100,112,99,98,104
111,116,102,113,107,106,121,106,104,112
117,123,108,121,115,114,126,113,111,118
124,128,115,125,120,121,135,119,117,125
130,134,122,131,126,128,139,126,122,134
138,141,124,138,132,134,148,132,130,139
143,147,133,144,137,140,155,137,135,148
150,153,139,151,145,146,158,144,143,152
158,157,143,157,151,152,167,153,149,159
161,165,151,162,158,157,171,157,155,164
170,172,157,171,161,163,177,164,164,172
177,179,163,178,170,169,183,169,172,177
184,186,169,184,178,175,189,177,180,186
189,192,175,190,184,184,197,182,185,195
198,200,182,196,191,189,204,190,194,199
206,207,188,202,199,196,209,196,198,206
213,214,195,210,204,203,215,202,205,211
219,221,200,217,211,209,221,210,208,217
227,227,206,222,218,215,226,214,216,225
233,232,213,228,223,221,232,221,224,230
239,238,218,237,232,227,240,229,229,236
245,246,226,243,235,233,247,235,234,243
253,252,232,249,243,240,253,242,241,248
258,259,238,255,250,247,262,247,248,254
265,265,246,261,256,254,269,255,254,262
272,273,252,266,262,263,276,262,261,265
279,279,258,273,268,271,282,269,266,274
284,283,266,279,277,277,289,274,273,280
291,291,270,284,284,284,297,282,280,285
298,295,278,293,291,290,303,287,284,292
304,304,284,298,297,296,308,295,293,296
309,309,293,304,304,304,314,303,298,304
318,317,298,311,312,310,320,309,306,308
325,326,307,317,315,319,328,316,311,316
331,329,314,323,323,326,333,322,317,324
339,337,320,331,328,333,340,329,323,329
343,344,327,334,335,339,345,337,331,338
349,351,335,340,341,345,353,344,336,342
357,355,342,348,346,351,357,349,344,350
362,362,349,352,352,358,364,355,348,355
370,369,354,359,361,363,369,364,354,363
377,376,363,367,366,369,376,370,360,368
384,383,370,372,375,375,383,376,368,376
390,389,374,380,381,381,389,384,374,383
395,397,382,385,387,388,396,390,379,388
401,405,386,392,392,395,404,397,387,396
407,410,395,396,399,401,409,402,393,401
414,418,403,404,405,407,415,409,401,409
418,425,410,410,407,413,421,416,408,414
426,432,417,418,414,420,428,420,414,421
433,440,422,425,418,427,437,426,422,427
440,446,428,432,423,432,444,433,427,434
445,452,433,438,426,441,448,438,434,439
453,458,439,445,432,444,453,441,438,446
457,466,443,452,436,451,457,446,444,454
466,472,448,459,441,456,463,451,451,460
470,478,452,465,447,461,469,455,455,465
477,482,456,471,450,465,472,459,459,473
484,487,459,478,454,470,477,465,465,481
487,492,464,483,460,475,480,469,469,487
492,496,467,490,462,478,485,473,473,494
497,500,473,495,468,484,490,478,477,500
501,504,477,502,472,488,492,481,481,505
505,510,481,504,476,493,497,485,484,512
509,514,486,508,479,498,502,489,488,515
515,519,490,513,484,502,506,494,492,520
518,524,496,517,487,508,511,498,498,524
522,528,498,521,493,512,517,503,501,529
526,532,504,525,498,516,521,508,507,533
529,537,508,530,503,522,525,514,510,536
533,541,514,535,507,525,531,517,515,541
537,545,516,538,513,531,535,523,518,544
542,550,522,544,516,535,539,525,524,550
547,555,525,545,520,540,541,531,530,555
551,561,530,549,524,545,546,533,533,558
555,564,536,551,529,551,552,538,538,564
561,569,540,553,533,555,555,543,544,566
565,573,544,556,537,560,559,549,547,571
571,575,549,557,541,564,564,551,551,576
573,580,552,560,545,567,570,557,555,580
576,584,558,561,548,569,570,560,560,584
579,590,562,563,552,571,576,565,566,590
580,593,566,565,556,574,580,569,570,594
583,598,570,568,560,574,585,573,575,598
584,599,573,568,564,577,591,577,579,602
587,601,576,571,568,578,594,580,584,605
588,604,579,572,573,580,599,583,586,609
591,606,581,574,576,582,601,585,591,612
593,609,584,575,581,584,607,587,596,615
595,609,587,578,586,585,608,588,599,617
598,612,587,580,590,588,612,591,604,619
600,613,590,583,596,590,613,593,608,620
602,615,593,584,599,592,616,596,612,620
604,618,594,587,603,594,617,599,615,620
607,619,597,588,605,597,619,599,618,620
610,621,599,591,606,599,620,602,619,620
613,621,601,594,609,601,620,603,619,620
614,621,603,597,610,604,620,606,619,620
616,621,606,599,612,605,620,608,619,620
618,621,609,601,613,608,620,610,619,620
619,621,611,603,616,610,620,613,619,620
620,621,613,605,616,613,620,614,619,620
620,621,615,607,618,614,620,617,619,620
620,621,617,610,619,617,620,617,619,620
620,621,618,610,619,617,620,620,619,620
620,621,620,613,619,620,620,620,619,620
620,621,621,616,619,620,620,621,619,620
620,621,621,618,619,621,620,621,619,620
620,621,621,619,619,621,620,621,619,620
620,621,621,620,619,621,620,621,619,620
620,621,621,620,619,621,620,621,619,620
620,621,621,620,619,621,620,621,619,620
620,621,621,620,619,621,620,621,619,620
620,621,621,620,619,621,620,621,619,620
620,621,621,620,619,621,620,621,619,620
620,621,621,620,619,621,620,621,619,620
620,621,621,620,619,621,620,621,619,620
620,621,621,620,619,621,620,621,619,620
620,621,621,620,619,621,620,621,619,620
620,621,621,620,619,621,620,621,619,620
620,621,621,620,619,621,620,621,619,620
620,621,621,620,619,621,620,621,619,620
620,621,621,620,619,621,620,621,619,620
620,621,621,620,619,621,620,621,619,620
620,621,621,620,619,621,620,621,619,620
620,621,621,620,619,621,620,621,619,620
620,621,621,620,619,621,620,621,619,620
620,621,621,620,619,621,620,621,619,620
620,621,621,620,619,621,620,621,619,620
