Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread
0,0,0,0,0,0,0,0,0,0
17,10,13,8,12,12,5,13,8,17
29,22,31,19,22,22,20,17,10,21
37,31,33,29,28,34,29,21,16,25
38,35,39,30,30,37,34,21,21,29
40,36,42,30,32,42,36,23,22,29
41,37,44,31,35,43,37,24,23,29
42,37,45,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
42,37,46,32,35,44,37,24,23,30
