Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread
0,0,0,0,0,0,0,0,0,0
7,9,9,0,0,0,0,0,0,1
12,13,24,1,0,0,0,0,0,6
17,26,29,2,0,3,0,0,0,16
25,31,31,2,1,8,0,5,0,17
27,34,36,4,3,15,0,13,6,23
27,38,39,7,3,18,2,27,11,32
27,39,39,17,4,19,3,35,20,42
30,43,39,25,8,21,3,37,24,47
31,44,39,31,10,22,4,42,27,48
33,45,39,35,12,23,12,43,34,48
35,46,39,40,13,23,16,43,42,49
35,46,39,42,18,23,20,43,44,49
35,46,39,43,22,23,24,43,45,49
35,46,39,44,24,23,27,43,47,49
35,46,39,44,25,23,28,43,47,49
35,46,39,44,25,23,30,43,47,49
35,46,39,44,26,23,30,43,48,49
35,46,39,44,26,23,31,43,48,49
35,46,39,44,26,23,31,43,48,49
35,46,39,44,26,23,31,43,48,49
35,46,39,44,26,23,31,43,48,49
35,46,39,44,26,23,31,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
35,46,39,44,26,23,32,43,48,49
