Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal
0,0,0,0,0,0,0,0,0,0
63,45,67,62,54,64,76,57,61,73
75,59,79,74,88,90,104,58,91,98
100,120,164,148,139,146,152,65,158,151
135,202,284,234,192,193,215,78,236,220
177,277,350,363,277,254,286,106,333,326
240,350,402,438,359,293,371,139,442,457
282,419,457,513,491,324,445,181,532,559
359,486,515,578,590,362,508,279,608,608
476,549,553,608,627,418,568,365,624,627
552,602,599,624,630,496,615,443,635,634
592,620,622,633,631,573,629,514,637,635
616,631,632,636,633,606,635,571,637,636
632,635,637,637,633,622,636,610,637,636
638,637,639,637,633,627,636,623,637,636
639,639,640,638,633,634,636,633,637,636
639,639,640,638,633,636,636,633,637,636
639,639,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
639,640,641,638,633,639,636,633,637,636
