Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread
0,0,0,0,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,4
0,0,2,0,5,0,1,0,0,12
0,1,4,0,10,0,9,0,2,13
0,1,7,2,15,0,28,0,6,16
1,7,18,10,20,0,37,0,12,20
4,7,18,16,23,1,52,0,21,27
7,9,20,21,24,1,60,4,26,32
12,15,22,26,24,1,66,9,33,40
20,20,22,31,24,2,67,23,35,43
26,24,28,34,24,10,67,30,37,45
30,28,38,38,24,15,67,33,37,47
37,32,44,42,24,25,67,36,37,48
42,35,45,43,24,28,67,37,37,48
45,39,47,43,24,34,67,37,37,48
47,42,49,44,24,37,67,37,37,48
47,42,49,44,24,37,67,37,37,48
47,42,50,44,24,39,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
47,42,50,44,24,40,67,37,37,48
