Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed
0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,2,0,0,0,0
0,0,2,1,0,5,0,0,0,0
0,0,5,2,0,7,0,1,0,2
4,0,6,5,2,7,0,4,4,3
8,4,9,6,4,10,1,6,6,5
13,8,10,9,9,11,4,14,12,9
17,14,12,11,11,16,9,19,17,13
25,20,16,17,19,19,15,27,23,18
31,26,19,23,23,24,23,32,30,24
39,32,26,31,31,31,29,39,37,30
45,39,30,36,38,38,36,44,43,34
53,46,39,43,45,43,44,52,49,41
60,52,43,49,50,50,50,56,56,47
67,58,50,55,59,55,56,64,63,54
75,65,57,60,63,61,63,69,70,62
80,71,61,66,71,67,69,78,73,66
86,78,68,73,79,76,76,84,81,73
94,83,74,78,85,80,83,90,86,81
103,88,80,84,92,88,90,97,95,86
108,96,88,90,101,94,97,103,101,93
114,99,92,96,105,101,105,109,108,100
121,107,101,102,114,110,108,117,113,109
128,114,106,111,118,117,116,122,119,114
133,121,114,114,125,123,121,129,125,122
141,128,119,122,133,131,129,135,131,127
148,135,127,130,139,137,132,142,137,135
156,142,134,135,145,145,139,149,144,140
163,148,138,143,153,151,145,156,150,147
170,156,144,147,161,159,149,159,153,155
175,160,151,156,166,168,157,168,161,160
183,169,156,164,174,173,161,173,167,167
188,175,162,168,180,179,169,180,172,172
196,181,170,176,185,184,177,186,180,181
203,188,178,182,192,190,181,193,185,187
210,194,186,185,198,196,188,200,191,195
218,200,191,194,204,200,193,207,199,201
224,205,199,200,209,208,200,213,204,207
229,212,205,206,216,212,207,222,212,214
236,216,213,214,223,219,214,227,218,219
242,223,221,221,228,222,219,234,223,225
249,230,229,227,234,231,228,240,230,231
254,236,234,234,242,237,231,247,233,237
261,243,242,241,247,242,240,253,241,246
266,248,246,246,252,251,247,258,246,253
273,256,254,253,259,255,254,266,253,258
279,261,260,260,265,261,261,271,260,266
287,269,268,265,272,269,266,277,267,275
293,276,273,272,276,275,274,283,272,279
300,280,280,279,283,282,281,289,279,285
307,286,286,286,289,289,287,298,283,292
314,293,293,295,296,297,293,302,291,300
319,297,299,302,301,304,299,311,299,306
328,304,304,308,308,311,308,315,306,314
333,309,312,316,314,316,313,322,313,320
340,318,317,321,319,324,319,331,321,327
346,323,324,330,328,330,326,335,325,333
352,331,329,336,332,338,334,344,333,340
360,337,335,341,340,342,342,348,341,346
366,344,341,349,345,349,350,354,348,353
374,351,348,353,352,357,357,362,354,361
380,357,354,361,358,363,361,368,361,368
387,364,359,365,363,369,368,375,368,374
394,371,367,373,370,375,375,381,374,381
401,375,373,376,376,383,379,389,381,387
410,384,379,383,382,389,386,395,388,394
417,390,386,389,388,395,393,400,394,401
423,396,393,397,395,400,401,408,401,405
428,403,400,402,402,407,405,413,408,411
434,410,407,408,409,413,412,419,414,418
440,415,414,417,414,420,417,427,420,425
444,423,418,419,423,426,423,434,427,431
449,429,427,426,428,433,430,441,432,438
452,437,431,434,433,441,435,447,438,441
457,443,439,442,436,449,443,454,446,446
459,451,447,449,442,455,447,459,453,450
464,457,454,456,446,461,454,465,457,455
467,463,457,461,451,469,459,469,463,459
472,469,462,467,455,475,467,474,469,464
476,477,467,472,460,482,472,479,472,469
480,482,471,478,465,489,478,482,477,474
485,490,476,483,468,494,480,488,481,479
489,493,479,492,473,498,485,491,484,483
494,498,485,497,476,503,489,497,489,487
498,500,489,504,480,506,494,500,492,492
504,504,494,509,485,512,498,506,498,496
510,508,498,517,491,515,501,510,500,502
513,511,504,524,492,520,507,515,505,505
518,516,510,529,498,526,510,517,510,510
522,519,513,535,501,529,514,523,514,515
527,524,517,540,507,534,518,527,518,519
531,527,521,544,511,536,523,532,523,524
535,531,526,549,515,542,528,536,525,529
538,535,530,554,519,546,531,539,531,531
541,539,535,558,523,550,535,543,534,536
547,544,539,561,527,555,540,548,540,541
551,549,544,565,530,558,545,551,543,543
556,551,550,569,535,564,548,556,547,549
559,557,552,574,540,567,553,560,550,552
564,561,557,577,546,573,558,565,553,555
568,565,561,580,550,576,562,568,558,560
573,570,566,581,554,582,565,573,562,564
579,574,569,584,558,584,569,577,568,568
582,579,571,586,562,590,575,581,574,573
588,583,574,587,568,593,578,584,578,575
590,585,576,590,572,597,582,589,583,581
594,591,579,591,577,599,584,593,588,583
600,594,582,594,580,601,590,594,590,589
603,595,584,596,585,604,594,597,596,591
608,598,587,598,589,605,596,599,599,597
611,600,589,600,592,607,598,601,603,600
617,603,592,601,597,608,599,603,606,605
618,605,595,604,602,611,602,605,610,605
620,607,597,605,605,613,602,607,613,608
621,609,598,608,607,614,605,609,615,609
621,611,601,611,610,617,607,611,617,612
621,613,602,612,611,618,608,612,618,613
621,615,604,614,614,620,611,614,620,615
621,617,607,615,615,621,614,616,620,617
621,619,609,618,618,621,614,619,620,618
621,621,612,618,619,621,617,620,620,619
621,621,613,620,619,621,618,621,620,619
621,621,616,620,619,621,620,621,620,619
621,621,617,620,619,621,620,621,620,619
621,621,619,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
621,621,620,620,619,621,620,621,620,619
