social_radius,fire_radius,exit_radius,p_spreading,p_spreading_environment,RunId,Agents Removed,Agents Know Fire,Exit Knowledge Spread,Change Goal
0.46875,11.71875,11.71875,0.721875,0.309375,97.0,99.0,0.0,97.0,
4.84375,11.71875,11.71875,0.721875,0.309375,152.0,152.0,48.0,158.0,
0.46875,13.28125,11.71875,0.721875,0.309375,98.0,116.0,0.0,114.0,
0.46875,11.71875,21.09375,0.721875,0.309375,58.0,59.0,0.0,59.0,
0.46875,11.71875,11.71875,0.515625,0.309375,61.0,63.0,0.0,61.0,
0.46875,11.71875,11.71875,0.721875,0.171875,91.0,91.0,0.0,91.0,
0.46875,13.28125,21.09375,0.515625,0.171875,77.0,78.0,0.0,78.0,
4.84375,11.71875,21.09375,0.515625,0.171875,152.0,152.0,0.0,152.0,
4.84375,13.28125,11.71875,0.515625,0.171875,152.0,152.0,24.0,157.0,
4.84375,13.28125,21.09375,0.721875,0.171875,151.0,152.0,6.0,151.0,
4.84375,13.28125,21.09375,0.515625,0.309375,152.0,152.0,2.0,152.0,
4.84375,13.28125,21.09375,0.515625,0.171875,152.0,152.0,0.0,153.0,
2.96875,24.21875,24.21875,0.171875,0.8593750000000001,151.0,152.0,0.0,151.0,
2.34375,24.21875,24.21875,0.171875,0.8593750000000001,152.0,152.0,0.0,152.0,
2.96875,0.78125,24.21875,0.171875,0.8593750000000001,0.0,0.0,0.0,0.0,
2.96875,24.21875,8.59375,0.171875,0.8593750000000001,152.0,152.0,51.0,167.0,
2.96875,24.21875,24.21875,1.065625,0.8593750000000001,151.0,152.0,0.0,151.0,
2.96875,24.21875,24.21875,0.171875,0.721875,152.0,152.0,0.0,152.0,
2.96875,0.78125,8.59375,1.065625,0.721875,0.0,0.0,0.0,0.0,
2.34375,24.21875,8.59375,1.065625,0.721875,152.0,152.0,52.0,171.0,
2.34375,0.78125,24.21875,1.065625,0.721875,0.0,0.0,0.0,0.0,
2.34375,0.78125,8.59375,0.171875,0.721875,0.0,0.0,0.0,0.0,
2.34375,0.78125,8.59375,1.065625,0.8593750000000001,0.0,0.0,0.0,0.0,
2.34375,0.78125,8.59375,1.065625,0.721875,0.0,0.0,0.0,0.0,
4.21875,5.46875,5.46875,0.9968750000000001,0.5843750000000001,152.0,152.0,81.0,163.0,
1.09375,5.46875,5.46875,0.9968750000000001,0.5843750000000001,17.0,17.0,12.0,19.0,
4.21875,19.53125,5.46875,0.9968750000000001,0.5843750000000001,151.0,152.0,85.0,172.0,
4.21875,5.46875,2.34375,0.9968750000000001,0.5843750000000001,152.0,152.0,91.0,166.0,
4.21875,5.46875,5.46875,0.790625,0.5843750000000001,152.0,152.0,79.0,167.0,
4.21875,5.46875,5.46875,0.9968750000000001,0.9968750000000001,152.0,152.0,99.0,152.0,
4.21875,19.53125,2.34375,0.790625,0.9968750000000001,152.0,152.0,97.0,160.0,
1.09375,5.46875,2.34375,0.790625,0.9968750000000001,14.0,15.0,20.0,20.0,
1.09375,19.53125,5.46875,0.790625,0.9968750000000001,111.0,144.0,68.0,174.0,
