Agents Removed,Agents Know Fire,Exit Knowledge Spread,Change Goal,Exit Knowledge
0,0,0,0,0
0,57,2,0,13
0,59,2,0,13
1,63,2,0,13
1,66,3,0,14
1,68,5,0,16
1,71,7,0,18
5,72,7,0,18
5,75,9,0,20
7,76,9,0,20
8,83,9,0,21
10,88,11,0,23
10,93,15,0,27
12,99,16,0,29
13,103,25,0,38
13,103,29,0,42
19,105,37,0,50
19,106,45,0,58
22,110,51,0,64
23,113,54,0,67
26,118,56,0,69
27,119,58,0,71
28,124,58,0,71
34,124,60,0,73
37,125,62,0,75
43,127,62,0,75
45,129,62,0,75
49,131,63,0,76
55,135,64,0,77
58,136,64,0,77
60,139,65,0,78
62,139,67,0,80
63,139,69,0,82
67,140,70,0,83
