Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal
0,0,0,0,0,0,0,0,0,0
10,10,12,17,15,14,12,12,14,13
10,14,13,20,15,14,14,18,16,14
17,19,16,21,18,15,16,24,17,15
21,23,23,31,18,16,21,25,23,18
23,29,29,45,19,17,25,28,26,20
23,30,33,50,19,17,28,36,34,20
27,34,40,60,19,19,31,41,37,22
32,36,49,64,19,19,35,48,41,23
33,41,58,72,19,21,44,56,47,30
33,44,61,76,19,21,50,64,47,34
36,48,69,79,19,21,52,73,48,38
36,54,72,81,19,21,53,75,48,39
37,60,76,86,19,21,55,80,48,41
38,69,78,90,19,22,57,91,49,41
42,74,85,96,19,23,57,100,51,41
42,79,93,102,19,24,58,109,54,41
42,87,98,104,19,25,59,117,54,41
42,95,102,105,19,25,59,123,54,41
42,102,106,110,19,25,59,126,54,41
42,106,112,114,19,27,59,128,54,41
42,109,114,116,19,27,59,130,54,41
42,116,117,117,19,27,59,131,54,41
42,120,118,117,19,27,59,132,54,41
42,124,120,117,19,27,59,132,54,41
42,127,122,118,19,27,59,136,55,41
42,128,123,118,19,27,59,137,56,43
42,129,124,119,19,27,59,139,56,44
42,130,124,119,19,27,59,140,57,44
42,132,124,119,19,27,59,142,57,44
42,135,124,120,19,27,59,143,58,44
42,141,124,120,19,27,59,145,59,44
42,147,124,120,19,27,59,146,60,44
42,149,124,120,19,27,60,147,60,44
42,151,124,120,19,27,60,147,62,44
42,152,124,120,19,27,61,147,62,44
42,152,124,120,19,27,62,147,63,44
42,152,124,120,19,27,63,147,66,44
42,153,124,120,19,27,64,147,68,44
42,153,124,120,19,27,65,147,69,44
42,153,124,120,19,28,65,147,70,44
42,153,124,120,19,28,65,147,71,44
42,153,124,120,19,28,65,147,71,46
42,155,125,120,19,28,65,147,71,49
42,156,125,120,19,28,65,147,71,50
42,156,125,120,19,28,65,147,71,51
42,156,125,120,19,28,65,147,71,52
42,156,125,120,19,28,65,147,71,53
42,156,125,120,19,28,65,147,71,54
42,156,125,121,19,28,65,147,71,54
42,156,125,121,19,28,65,147,71,55
42,156,125,126,19,28,66,147,71,57
42,156,125,127,19,28,68,147,71,58
42,156,125,127,19,28,68,147,71,60
42,156,125,127,19,28,69,147,71,60
42,156,127,127,19,28,70,147,71,60
42,156,127,127,19,28,70,147,71,60
42,156,127,128,19,28,70,147,71,60
42,157,128,128,19,28,70,147,71,60
