Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread
0,0,0,0,0,0,0,0,0,0
0,3,3,4,0,1,2,0,3,2
1,6,6,7,0,1,4,4,4,2
1,10,12,7,1,1,6,9,4,2
1,12,13,13,1,1,7,13,5,2
2,16,15,28,1,1,9,14,5,2
2,17,20,32,1,2,11,16,6,2
2,21,23,33,2,2,12,20,6,2
3,22,27,36,2,2,12,21,6,2
5,24,34,40,2,2,13,23,7,2
5,27,37,41,2,2,13,24,7,2
5,27,40,41,2,2,13,24,8,2
6,29,42,42,2,2,14,27,8,2
6,30,46,43,2,2,14,31,8,3
6,32,47,44,2,3,14,37,8,3
7,32,48,44,2,3,14,40,8,3
7,33,52,45,2,3,14,45,8,3
7,33,53,45,2,3,14,48,8,3
7,33,54,45,2,3,14,48,8,3
7,35,56,45,2,3,14,49,8,3
7,35,58,45,2,4,14,49,8,3
7,35,58,46,2,4,14,51,8,3
7,39,59,46,2,4,14,52,8,3
7,42,59,46,2,4,14,52,8,4
7,47,59,46,2,4,14,53,8,4
7,49,59,46,2,4,14,53,8,4
7,49,59,47,2,4,14,53,8,4
7,49,59,47,2,4,14,54,8,4
7,49,59,47,2,4,14,54,8,4
7,49,59,47,2,4,14,55,8,4
7,49,59,47,2,4,14,55,8,4
7,49,59,47,2,4,14,55,8,4
7,50,59,47,2,4,14,55,8,4
7,51,59,47,2,4,14,55,8,4
7,51,59,47,2,4,14,55,8,4
7,51,59,47,2,4,14,55,8,4
7,51,59,47,2,4,14,55,8,4
7,51,59,47,2,4,14,55,8,4
7,51,59,47,2,4,14,55,9,4
7,52,59,47,2,5,14,55,9,4
7,52,59,47,2,6,14,55,9,4
7,52,59,47,2,6,14,55,10,4
7,52,59,47,2,6,14,55,10,5
7,52,59,47,2,6,14,55,10,6
7,52,59,47,2,6,14,55,10,6
7,52,59,47,2,6,14,55,10,6
7,52,59,47,2,6,14,55,10,6
7,52,59,47,2,6,14,55,10,6
7,52,59,47,2,6,14,55,10,7
7,52,59,47,2,6,14,55,10,7
7,52,59,48,2,6,14,55,10,7
7,52,59,48,2,6,14,55,10,8
7,52,59,49,2,6,15,55,10,8
7,52,59,50,2,6,15,55,10,8
7,52,59,50,2,6,15,55,10,8
7,52,59,50,2,6,15,55,10,8
7,52,59,50,2,6,15,55,10,8
7,52,59,50,2,6,15,55,10,8
7,52,59,50,2,6,15,55,10,8
7,52,59,50,2,6,16,55,10,8
7,52,60,50,2,6,17,55,10,8
7,52,60,50,2,6,18,55,10,8
7,52,60,50,2,6,18,55,10,8
7,52,60,50,2,6,18,55,10,8
7,52,60,50,2,6,18,55,10,8
7,52,60,50,2,6,18,55,10,8
7,52,60,50,2,6,18,55,10,8
7,52,60,50,2,6,18,55,10,8
7,52,60,50,2,6,18,55,10,8
7,52,60,50,2,6,18,55,10,8
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
7,52,60,50,2,6,18,55,10,9
