Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge
129,134,130,129,127,136,135,135,135,134
129,135,130,132,127,137,136,135,138,137
130,135,130,134,127,137,138,137,139,137
130,137,133,134,128,137,139,137,139,137
130,137,133,134,128,137,139,137,140,137
131,138,134,138,128,137,139,137,140,137
131,138,135,138,128,138,139,137,141,137
131,140,135,138,129,138,140,138,141,137
132,140,137,139,129,138,140,138,141,137
134,140,138,140,129,138,141,139,142,137
134,141,138,140,129,138,141,140,142,137
134,141,138,140,129,138,141,140,143,137
135,141,138,140,129,138,142,140,143,137
135,141,139,140,129,138,142,142,143,138
135,142,139,140,129,139,142,143,143,138
136,142,140,140,129,139,142,144,143,138
136,142,143,141,129,139,142,145,143,138
136,142,143,141,129,139,143,145,143,138
136,142,143,141,129,139,143,145,143,138
136,143,145,141,129,139,143,145,143,138
136,143,147,141,129,140,143,145,143,138
136,143,147,142,129,140,143,145,143,138
136,144,148,142,129,140,143,146,143,138
136,146,148,142,129,140,143,146,143,139
136,148,148,142,129,140,143,147,143,139
136,149,148,142,129,140,143,147,143,139
136,149,148,143,129,140,143,147,143,139
136,149,148,143,129,140,143,148,143,139
136,149,148,143,129,140,143,148,143,139
136,149,148,143,129,140,143,149,143,139
136,149,148,143,129,140,143,149,143,139
136,149,148,143,129,140,143,149,143,139
136,149,148,143,129,140,143,149,143,139
136,149,148,143,129,140,143,149,143,139
136,149,148,143,129,140,143,149,143,139
136,149,148,143,129,140,143,149,143,139
136,149,148,143,129,140,143,149,143,139
136,149,148,143,129,140,143,149,143,139
136,149,148,143,129,140,143,149,144,139
136,150,148,143,129,141,143,149,144,139
136,150,148,143,129,142,143,149,144,139
136,150,148,143,129,142,143,149,145,139
136,150,148,143,129,142,143,149,145,140
136,150,148,143,129,142,143,149,145,141
136,150,148,143,129,142,143,149,145,141
136,150,148,143,129,142,143,149,145,141
136,150,148,143,129,142,143,149,145,141
136,150,148,143,129,142,143,149,145,141
136,150,148,143,129,142,143,149,145,142
136,150,148,143,129,142,143,149,145,142
136,150,148,144,129,142,143,149,145,142
136,150,148,144,129,142,143,149,145,143
136,150,148,145,129,142,144,149,145,143
136,150,148,146,129,142,144,149,145,143
136,150,148,146,129,142,144,149,145,143
136,150,148,146,129,142,144,149,145,143
136,150,148,146,129,142,144,149,145,143
136,150,148,146,129,142,144,149,145,143
136,150,148,146,129,142,144,149,145,143
136,150,148,146,129,142,145,149,145,143
136,150,149,146,129,142,146,149,145,143
136,150,149,146,129,142,147,149,145,143
136,150,149,146,129,142,147,149,145,143
136,150,149,146,129,142,147,149,145,143
136,150,149,146,129,142,147,149,145,143
136,150,149,146,129,142,147,149,145,143
136,150,149,146,129,142,147,149,145,143
136,150,149,146,129,142,147,149,145,143
136,150,149,146,129,142,147,149,145,143
136,150,149,146,129,142,147,149,145,143
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
136,150,149,146,129,142,147,149,145,144
