Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,14,15,20,14,15,16,14,16,17,15,15,21,17,18,10,16,14,23,10,27,12,16,13,14,34,15,15,13,13
16,16,17,21,17,16,16,17,22,18,15,19,24,21,23,13,16,14,26,15,28,17,22,13,17,35,18,18,13,16
18,20,20,22,18,25,17,19,27,21,17,19,26,26,25,15,18,15,29,18,28,18,30,19,17,37,21,20,15,18
20,24,27,25,20,28,18,19,34,23,20,19,29,30,30,17,20,16,30,21,28,19,42,20,19,38,21,22,20,30
24,28,32,29,21,34,23,20,38,27,22,20,32,32,33,20,22,18,32,26,31,19,45,25,23,38,27,22,20,35
32,36,37,34,21,39,26,22,49,28,27,22,37,32,36,24,23,22,34,30,31,21,46,27,28,38,28,23,22,40
39,40,43,37,21,44,30,23,54,40,29,24,45,37,39,28,25,22,36,33,34,21,51,29,31,40,32,25,22,46
46,44,48,38,23,47,34,29,57,50,29,24,52,39,44,33,29,24,37,37,36,23,53,30,37,41,34,30,26,52
54,47,50,40,26,48,36,32,64,57,29,26,57,41,48,35,33,26,38,47,43,24,55,30,41,41,38,34,30,65
58,57,56,43,28,55,38,34,68,65,29,26,67,43,52,39,38,27,38,53,48,25,57,30,44,41,39,35,32,71
60,64,63,44,29,59,41,35,73,77,29,26,73,46,55,42,51,27,38,55,53,25,60,30,50,42,39,38,32,77
66,69,74,48,30,63,42,39,85,80,33,26,79,47,58,49,64,27,41,58,60,25,63,31,61,42,42,41,33,79
66,78,78,49,30,70,42,40,95,85,33,26,83,49,59,53,81,27,41,59,66,25,66,31,67,42,43,43,34,87
67,85,84,51,30,74,42,40,103,89,34,26,86,49,62,55,90,27,41,62,78,25,68,31,73,42,43,44,34,88
70,95,89,51,30,80,44,41,110,91,36,26,90,49,64,56,101,27,44,63,83,25,70,31,81,42,43,46,34,89
71,101,90,51,30,86,44,43,116,95,37,26,94,49,67,56,113,27,46,65,87,25,72,31,88,42,43,47,34,89
75,104,92,52,30,94,44,43,120,95,37,27,98,49,69,58,118,27,47,65,93,25,74,31,97,42,43,48,34,92
76,105,94,52,31,98,44,43,121,101,37,27,103,49,71,59,121,27,47,67,99,25,78,31,103,42,44,53,34,92
76,105,95,52,31,103,44,43,121,101,37,27,104,49,74,64,123,27,47,67,105,25,78,31,111,42,44,56,35,94
80,107,97,52,31,107,44,43,122,101,37,27,108,49,77,64,123,28,47,67,108,27,79,31,115,42,44,62,38,94
84,109,97,52,31,108,44,43,124,102,37,27,111,49,86,65,124,28,47,67,112,28,81,31,120,42,44,69,38,94
89,109,98,52,31,113,44,43,124,103,38,27,113,49,92,66,126,28,47,67,114,29,83,32,127,42,44,71,38,95
94,115,98,52,31,115,44,43,125,103,38,27,115,49,100,66,128,29,47,67,114,30,87,33,130,42,44,72,40,95
99,117,98,52,31,117,44,43,126,106,38,27,116,49,101,66,129,29,47,67,115,31,88,34,130,42,44,75,40,96
101,119,98,52,31,119,44,44,126,108,39,27,117,49,105,66,130,29,47,67,116,31,89,34,131,42,44,76,42,97
101,119,98,52,31,124,44,45,126,109,40,27,117,49,109,66,130,29,47,67,117,31,92,36,131,42,44,77,42,97
102,121,98,52,31,127,44,45,126,113,40,27,118,49,114,66,130,29,47,67,118,31,95,37,131,42,44,79,42,97
104,122,98,52,31,127,44,45,126,114,41,30,119,49,118,66,130,30,47,67,118,31,97,39,132,42,44,81,42,97
105,123,98,54,31,127,45,45,126,115,41,30,123,52,120,66,130,30,47,67,118,33,100,39,132,42,44,82,42,98
105,126,98,58,31,127,46,45,126,117,41,30,124,52,124,66,130,30,47,67,120,39,100,39,132,42,44,85,42,98
107,126,98,59,31,127,48,45,126,119,42,30,125,52,124,66,130,30,47,67,122,40,100,42,133,42,44,85,42,98
109,128,98,59,31,127,50,45,126,122,42,30,126,52,130,66,130,30,47,67,124,40,100,43,135,42,44,86,44,98
109,130,98,60,31,127,50,45,126,124,42,30,128,52,133,66,130,30,47,67,126,41,101,43,135,42,44,87,46,98
114,131,98,61,31,127,50,45,126,126,42,31,129,52,133,66,130,30,47,67,129,41,101,43,138,42,44,87,48,98
115,133,98,61,31,127,50,45,126,127,42,31,129,52,134,66,130,30,49,67,129,41,101,43,139,42,44,87,49,98
116,134,98,61,31,127,50,45,126,127,42,31,129,53,135,66,130,30,52,67,130,42,101,44,141,42,44,87,49,98
118,134,98,61,31,127,50,45,126,128,42,31,129,53,135,66,130,30,53,67,132,42,101,44,146,42,45,88,49,98
119,135,98,62,32,129,50,45,126,128,42,31,129,53,135,66,130,30,53,67,134,42,101,44,147,42,45,89,49,98
122,135,98,62,32,130,50,45,126,130,42,31,129,53,135,66,130,30,54,67,135,42,101,44,147,42,45,89,49,98
123,135,98,63,32,130,50,45,126,134,42,31,129,54,135,66,130,30,54,67,135,42,101,44,147,42,46,89,49,98
123,136,98,63,32,130,50,47,126,134,42,31,130,55,135,66,130,30,54,67,135,42,101,44,147,42,47,89,50,98
125,137,102,63,32,130,50,48,126,135,42,31,131,55,135,66,130,30,54,67,136,42,101,44,147,42,49,89,50,98
126,137,107,63,32,130,50,49,126,135,43,31,133,56,135,66,130,30,54,67,138,42,101,44,147,42,49,89,50,98
126,139,110,63,32,130,50,50,126,135,43,31,133,57,135,66,130,30,54,67,138,42,101,44,147,42,50,89,50,98
127,139,113,63,32,130,50,51,126,135,43,31,133,58,135,66,131,30,54,67,138,42,101,44,147,42,50,89,50,98
128,139,117,63,32,130,50,56,126,135,43,31,133,58,135,66,133,30,54,67,138,42,101,45,147,42,50,89,51,98
134,139,119,63,32,130,50,56,126,135,43,31,133,58,135,66,133,30,54,67,138,42,101,45,147,42,50,89,55,98
136,139,120,63,32,130,50,57,126,135,43,31,134,58,135,66,135,30,54,67,138,42,101,45,147,42,50,89,59,98
136,139,120,63,32,130,50,58,126,135,43,31,135,59,135,66,136,30,54,67,138,42,101,45,147,42,50,89,60,98
137,139,121,63,32,130,50,59,126,135,43,31,135,59,135,66,136,30,54,67,138,42,101,46,147,42,50,89,61,98
137,139,121,63,32,130,50,59,126,135,43,31,136,59,135,66,136,30,54,67,138,42,102,47,147,42,50,89,64,98
137,139,121,63,32,130,50,59,126,135,43,31,136,59,135,66,136,30,54,67,138,42,103,47,147,42,50,89,68,98
137,139,123,63,32,130,50,59,126,135,43,31,136,59,135,66,136,30,54,67,138,42,105,48,147,42,50,89,69,98
137,139,123,63,32,130,50,60,126,135,43,31,136,59,135,66,136,30,54,67,138,42,105,49,147,42,51,89,69,98
137,139,123,63,32,130,50,60,126,135,43,31,136,59,135,66,136,30,54,67,138,44,106,49,147,42,51,89,70,98
137,139,123,63,32,130,50,60,126,135,43,31,136,59,135,66,136,30,54,67,138,44,106,50,147,42,51,89,71,98
138,139,124,63,32,130,50,60,126,135,43,31,136,59,135,66,136,30,54,67,138,44,106,53,147,42,51,89,71,98
138,139,124,63,32,130,50,60,126,136,43,31,136,59,135,66,136,30,54,67,138,45,106,53,147,42,51,91,74,98
140,139,124,63,32,130,50,60,126,136,43,31,136,59,135,66,136,30,54,67,138,45,106,57,147,42,51,91,74,98
141,139,124,63,32,130,50,60,126,137,43,31,136,59,135,66,136,30,54,67,138,45,106,62,147,42,51,91,77,98
141,139,124,63,32,130,50,60,127,139,43,31,136,59,135,66,136,30,54,67,138,45,106,77,147,42,51,91,81,98
141,139,124,63,32,132,50,60,127,139,43,31,136,62,135,66,136,30,54,67,138,45,106,83,147,42,51,91,83,98
141,139,124,63,32,133,50,60,127,139,43,31,137,63,135,66,136,30,54,67,138,45,106,87,147,42,51,91,83,98
141,139,124,63,32,133,50,60,127,139,43,31,137,65,135,66,136,30,54,67,138,45,106,88,147,42,51,91,83,98
141,139,124,63,32,133,50,60,127,139,43,31,137,68,135,66,136,30,54,67,138,45,106,90,147,42,51,91,88,98
141,139,124,63,32,133,50,60,127,139,43,31,137,69,135,66,136,30,54,67,138,45,106,94,147,42,51,91,89,98
141,139,124,63,32,133,50,60,127,139,43,31,137,70,135,66,136,30,54,67,138,45,106,99,147,42,51,91,89,98
141,139,124,63,32,133,50,60,127,139,43,31,137,70,135,66,136,30,54,67,138,45,106,101,147,42,51,91,94,98
141,139,124,63,32,134,50,60,127,139,43,31,137,70,135,66,136,30,54,67,138,45,106,105,147,42,51,91,95,98
141,139,124,63,32,134,50,60,127,139,43,31,137,70,135,66,136,30,54,67,138,45,106,108,147,42,51,91,96,98
141,139,124,63,32,134,50,60,127,139,43,31,137,70,135,66,136,30,54,67,138,45,106,112,147,42,51,91,96,98
141,139,124,63,32,134,50,60,127,139,43,31,137,71,135,66,136,30,54,67,138,45,106,112,147,42,51,91,97,98
141,139,124,63,32,134,50,60,127,139,43,31,137,71,135,66,136,30,54,67,138,45,106,117,147,42,51,91,98,98
141,139,124,63,32,135,50,60,128,139,43,31,137,71,135,66,136,30,54,67,138,45,106,119,147,42,51,91,100,98
141,139,124,63,32,135,50,60,129,139,43,31,137,72,135,66,136,30,54,67,138,45,106,121,147,42,51,91,102,98
141,139,124,63,32,135,50,60,135,139,43,31,137,74,135,66,136,30,54,67,138,45,106,122,147,42,51,91,103,98
141,139,124,63,32,135,50,60,137,139,43,31,137,74,135,66,136,30,54,67,138,45,106,126,147,42,51,91,107,98
141,139,124,63,32,135,50,60,138,139,43,31,137,74,135,66,136,30,54,67,138,45,106,127,147,42,51,91,109,98
141,139,124,63,32,135,50,60,138,139,43,31,137,74,135,66,136,30,54,67,138,45,106,128,147,42,51,91,111,98
141,139,124,63,32,135,50,60,138,139,43,31,137,74,135,66,136,30,54,67,138,45,106,129,147,42,51,91,111,98
