Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0
0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,1,0,1,2,0
0,3,2,4,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,4,3,0,0,2,1,0,1,2,0
0,3,3,4,2,0,0,0,2,0,3,0,0,0,1,8,2,0,3,0,5,4,0,0,3,3,0,2,4,0
0,5,3,5,2,0,0,0,3,0,4,0,0,1,1,11,2,0,4,0,8,6,0,0,4,5,0,3,5,0
0,6,5,6,2,1,0,0,4,2,6,0,0,2,2,12,5,0,5,3,11,6,0,0,7,6,0,3,7,2
0,7,5,7,3,4,5,1,5,4,7,0,2,4,3,14,7,1,5,5,12,8,0,1,7,8,0,3,9,2
4,7,5,8,3,7,9,3,8,5,8,0,4,6,7,16,10,5,5,7,16,8,0,1,10,11,0,3,9,4
5,9,7,8,4,8,11,6,11,5,10,0,5,9,8,17,12,8,5,8,16,8,0,3,13,14,0,3,10,5
7,9,8,8,4,11,13,10,14,5,12,3,8,14,10,19,13,13,5,12,17,10,0,4,15,14,2,3,12,6
10,10,8,9,4,15,16,14,17,5,15,5,10,17,10,20,16,20,5,15,20,12,0,5,17,15,5,3,13,6
13,10,13,12,4,16,20,16,18,5,19,7,12,22,10,20,18,24,5,20,21,12,0,7,18,18,9,5,15,9
18,10,16,14,6,20,22,20,19,11,27,9,14,25,10,21,21,28,6,22,21,13,1,11,20,21,13,7,17,12
20,10,18,20,8,23,25,26,20,14,34,11,17,30,10,21,25,35,6,24,22,15,2,17,22,23,17,10,21,15
25,11,22,24,9,23,26,27,21,16,40,17,22,33,10,21,28,42,6,26,22,18,5,21,24,25,20,15,26,19
