Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal
0,0,0,0,0,0,0,0,0,0
59,52,56,54,57,54,56,49,58,57
62,56,58,56,59,58,58,52,62,57
68,73,62,64,65,69,65,65,71,66
82,84,68,79,75,80,81,76,83,77
90,95,85,89,85,84,98,94,94,88
104,105,93,99,96,98,114,106,102,98
117,113,106,107,99,115,127,117,106,106
120,120,117,110,105,121,139,128,108,112
123,120,120,121,107,126,144,137,110,117
123,123,120,125,108,126,146,142,110,117
124,123,121,126,109,127,148,142,110,119
126,123,123,127,110,127,150,142,110,119
126,123,123,128,111,129,152,142,111,119
127,123,124,129,111,130,152,142,111,119
127,123,124,131,111,133,152,142,112,119
128,123,124,135,111,135,152,142,112,119
128,123,125,135,111,138,152,142,113,119
128,123,125,137,111,140,152,142,113,119
128,123,125,142,111,141,152,142,113,119
128,124,125,144,111,144,152,142,113,119
128,125,125,148,111,145,152,142,113,119
128,125,125,149,111,145,152,142,113,119
128,125,125,151,111,145,152,142,114,119
128,127,125,151,111,145,152,142,114,119
128,131,125,151,111,145,152,142,116,119
128,136,125,154,111,145,152,142,117,119
128,137,125,156,111,145,152,142,119,119
128,140,125,156,111,145,152,142,120,119
128,144,125,156,111,145,152,142,120,119
128,147,125,156,111,145,152,142,122,119
128,151,125,156,111,145,152,142,122,119
128,155,125,156,111,146,152,142,122,119
128,157,125,156,111,146,152,142,122,119
128,160,125,156,111,147,152,142,122,119
128,160,125,156,111,147,152,142,122,119
129,160,125,156,111,147,153,142,122,119
129,160,125,156,111,147,153,142,122,119
129,160,125,156,111,147,153,142,122,119
129,160,125,156,111,147,153,142,122,119
129,160,125,156,111,147,153,142,122,119
129,160,125,156,111,147,153,142,122,119
129,160,125,156,111,147,153,142,122,119
129,160,125,156,111,147,153,142,122,119
129,160,125,156,111,147,153,142,122,119
129,160,125,156,111,147,153,142,122,119
129,160,125,156,111,147,153,142,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
129,160,125,156,111,147,153,143,122,119
