Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,6,8,6,5,7,10,6,4,6,5,4,4,6,7,4,7,3,3,8,7,9,2,6,11,8,13,7,3
9,6,12,14,7,10,15,18,7,8,10,8,9,7,7,11,6,11,6,5,11,8,13,6,14,16,12,13,9,6
13,11,17,19,16,16,18,22,9,11,13,11,12,8,9,17,13,14,10,8,15,12,15,9,18,22,17,17,13,9
17,13,25,22,22,22,21,27,12,15,17,13,15,12,12,19,15,14,15,10,19,17,18,16,21,25,21,20,15,11
19,18,28,28,26,28,22,35,13,17,21,15,17,15,16,22,19,14,16,14,27,21,20,22,24,26,23,22,18,15
21,22,36,29,29,30,27,36,15,19,25,15,19,17,18,24,20,14,17,14,31,23,26,26,27,28,24,25,23,19
23,22,41,30,29,32,27,38,16,24,25,15,20,17,21,26,20,15,18,14,34,27,33,27,29,29,25,25,24,20
24,23,43,30,31,33,28,39,16,25,27,16,21,22,23,26,21,16,20,16,36,29,33,28,30,30,25,26,25,21
24,24,43,31,33,35,28,40,18,25,30,16,23,23,23,27,21,18,22,17,40,31,35,30,31,30,26,27,27,23
26,26,43,31,34,35,29,41,20,25,32,17,23,23,24,28,21,18,23,17,40,32,35,31,31,31,26,28,27,24
26,26,44,31,34,35,29,41,20,26,32,17,23,23,25,28,21,18,23,17,41,32,35,31,31,32,26,29,27,24
