Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire
0,0,0,0,0,0,0,0,0,0
62,56,56,55,60,60,59,52,61,58
68,72,60,63,66,69,64,65,70,67
81,84,66,77,76,80,80,76,81,78
89,93,83,84,86,83,97,92,92,88
103,103,91,92,97,97,113,104,100,97
116,110,104,99,100,113,126,114,104,105
119,116,115,101,106,119,137,124,106,111
122,116,118,112,108,125,142,133,108,116
122,119,118,115,109,125,143,138,108,116
123,119,119,116,110,126,145,138,108,118
125,119,120,117,111,127,146,138,108,118
125,119,120,118,112,129,148,138,109,118
125,119,121,120,112,130,148,138,109,118
125,119,121,122,112,133,148,138,110,118
126,119,121,125,112,135,148,138,110,118
126,119,121,125,112,136,148,138,111,118
126,119,121,127,112,137,148,138,111,118
126,119,121,132,112,138,148,138,111,118
126,120,121,134,112,141,148,138,111,118
126,121,121,137,112,141,148,138,111,118
126,121,121,137,112,141,148,138,111,118
126,121,121,138,112,141,148,138,112,118
126,123,121,138,112,141,148,138,112,118
126,124,121,138,112,141,148,138,113,118
126,128,121,141,112,141,148,138,114,118
126,128,121,143,112,141,148,138,115,118
126,130,121,143,112,141,148,138,115,118
126,134,121,143,112,141,148,138,115,118
126,137,121,143,112,141,148,138,117,118
126,141,121,143,112,141,148,138,117,118
126,144,121,143,112,141,148,138,117,118
126,145,121,143,112,141,148,138,117,118
126,147,121,143,112,142,148,138,117,118
126,147,121,143,112,142,148,138,117,118
127,147,121,143,112,142,148,138,117,118
127,147,121,143,112,142,148,138,117,118
127,147,121,143,112,142,148,138,117,118
127,147,121,143,112,142,148,138,117,118
127,147,121,143,112,142,148,138,117,118
127,147,121,143,112,142,148,138,117,118
127,147,121,143,112,142,148,138,117,118
127,147,121,143,112,142,148,138,117,118
127,147,121,143,112,142,148,138,117,118
127,147,121,143,112,142,148,138,117,118
127,147,121,143,112,142,148,138,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
127,147,121,143,112,142,148,139,117,118
