Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0
1,0,4,1,0,0,0,0,1,2
2,0,6,1,1,1,0,0,2,4
4,0,8,3,4,3,0,0,4,7
6,3,9,4,10,5,4,1,5,8
11,7,12,5,14,10,6,5,9,11
17,10,19,8,18,13,12,9,12,17
24,14,24,12,26,20,15,12,17,23
28,20,28,17,31,23,19,16,22,27
35,25,34,26,38,31,24,21,27,32
41,30,39,31,42,36,31,27,33,38
46,36,44,39,47,42,36,35,39,45
51,43,52,43,55,48,41,38,42,48
56,50,60,47,59,53,45,42,48,54
63,56,66,52,65,57,51,49,54,58
68,59,69,55,69,64,57,54,59,66
75,65,76,63,74,64,63,59,65,70
80,70,82,68,80,71,68,64,70,76
84,74,87,75,85,75,70,68,75,83
89,80,93,80,90,81,76,74,79,86
95,85,98,85,94,86,84,78,83,94
100,88,103,89,99,92,89,85,88,99
106,94,107,94,101,98,93,88,91,104
111,98,109,99,105,103,98,92,95,110
113,103,110,104,106,106,100,97,99,113
117,106,113,108,108,109,107,101,103,113
118,110,115,113,110,110,111,104,106,116
121,112,117,115,110,115,116,108,107,116
124,113,117,119,110,116,118,110,111,117
125,114,119,119,110,118,121,114,111,117
125,115,119,120,110,122,122,116,111,117
125,116,120,122,110,124,125,118,111,117
125,116,120,123,110,128,126,120,112,117
125,117,120,127,110,129,128,122,112,117
125,118,120,129,110,132,130,123,113,117
125,119,120,131,110,134,132,125,113,117
125,120,121,132,111,136,133,127,113,117
125,121,121,132,111,137,136,130,114,117
125,122,121,134,111,138,139,132,114,117
125,123,121,137,111,139,140,134,114,117
125,124,121,139,111,139,143,135,115,117
125,124,121,140,111,140,143,136,115,117
126,126,121,141,111,140,146,136,115,117
126,126,121,142,111,140,146,136,115,117
126,128,121,142,111,140,146,136,115,117
126,133,121,143,111,140,147,136,115,117
127,137,121,143,111,140,147,137,115,117
127,139,121,143,111,140,148,137,116,117
127,142,121,143,111,140,148,137,117,117
127,143,121,143,111,140,148,137,117,117
127,146,121,143,111,140,148,137,117,117
127,146,121,143,111,140,148,137,117,117
127,147,121,143,111,140,148,137,117,117
127,147,121,143,111,140,148,137,117,117
127,147,121,143,111,140,148,137,117,117
127,147,121,143,111,140,148,137,117,117
127,147,121,143,111,140,148,137,117,117
127,147,121,143,111,140,148,137,117,117
127,147,121,143,111,140,148,137,117,117
127,147,121,143,111,140,148,137,117,117
127,147,121,143,111,140,148,137,117,117
127,147,121,143,111,140,148,137,117,117
127,147,121,143,111,140,148,138,117,117
127,147,121,143,111,140,148,138,117,117
127,147,121,143,111,140,148,139,117,117
127,147,121,143,111,140,148,139,117,117
127,147,121,143,111,140,148,139,117,117
127,147,121,143,111,140,148,139,117,117
127,147,121,143,111,140,148,139,117,117
127,147,121,143,111,140,148,139,117,117
127,147,121,143,111,140,148,139,117,117
127,147,121,143,111,140,148,139,117,117
127,147,121,143,111,140,148,139,117,117
127,147,121,143,111,140,148,139,117,117
127,147,121,143,111,140,148,139,117,117
