Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,149,151,147,148,150,147,149,147,149,148,148,149,147,148,144,149,149,149,143,147,148,145,149,149,147,152,146,146,147
147,152,156,157,154,152,157,158,154,152,154,154,153,152,152,147,155,153,158,150,149,154,154,150,155,155,158,150,151,153
153,154,157,160,157,159,164,159,157,157,160,158,159,155,158,150,160,157,159,156,155,157,160,154,158,160,159,152,157,157
158,159,157,163,160,163,166,162,157,158,163,159,163,155,159,153,166,160,161,160,160,157,160,158,160,161,162,153,160,159
159,161,159,167,160,164,166,164,161,159,164,160,163,156,161,154,169,163,163,164,164,158,160,161,162,163,162,157,161,160
161,162,160,167,160,167,167,166,161,161,167,161,164,157,163,156,169,163,165,168,165,163,160,164,163,165,162,158,163,160
162,162,161,167,160,168,170,166,161,161,168,161,164,159,163,157,169,163,166,170,166,165,161,164,165,165,162,159,164,161
165,162,161,168,160,171,171,166,161,162,168,161,164,163,163,159,169,163,167,171,166,165,161,164,165,166,162,159,165,161
165,162,161,168,160,171,171,166,161,162,168,161,164,164,163,159,169,164,167,171,166,166,161,164,165,166,162,159,165,161
166,162,161,168,160,171,171,166,161,163,168,161,164,165,163,159,169,164,167,172,166,167,161,164,165,166,162,159,165,161
166,162,161,168,160,171,171,166,161,164,168,161,164,165,164,160,169,164,167,174,166,167,161,165,165,166,162,159,165,161
166,162,161,168,160,171,172,166,161,164,169,161,164,165,164,160,169,164,167,174,166,167,161,165,165,167,162,159,165,161
167,162,161,168,160,171,172,166,161,164,169,161,164,165,164,160,169,164,167,174,166,167,161,165,166,167,162,159,166,161
169,162,161,168,160,171,172,166,161,164,169,161,164,165,164,160,169,164,167,174,166,167,161,165,166,167,162,159,166,162
169,162,161,168,160,171,172,166,161,164,169,161,164,165,164,160,169,164,167,174,166,167,161,165,166,167,162,159,166,162
169,163,161,168,160,171,172,166,161,165,169,161,164,165,164,160,169,164,167,174,166,167,161,165,166,167,162,159,166,162
169,163,161,168,160,171,172,166,161,165,169,161,164,165,164,160,169,164,167,174,166,167,161,165,166,167,162,159,166,162
169,163,161,168,160,171,172,166,161,165,169,161,164,165,164,160,170,164,167,174,166,167,161,165,166,167,162,159,166,162
169,163,161,168,160,171,172,166,161,165,169,161,165,165,164,160,170,164,167,174,166,167,161,165,166,167,162,159,166,162
169,163,161,168,160,171,172,166,161,165,169,162,165,165,164,160,170,164,168,174,166,167,161,165,166,167,162,159,166,162
169,163,161,168,160,171,172,166,161,165,169,162,165,165,164,160,170,164,169,174,166,167,161,165,166,167,162,159,166,162
169,163,161,168,160,171,172,166,161,165,169,162,165,165,164,160,170,164,170,174,166,168,161,165,166,167,162,159,166,162
169,163,161,168,160,171,172,166,161,165,169,162,165,165,164,160,170,164,171,174,166,168,162,165,166,167,162,159,166,162
169,163,161,168,160,171,172,166,161,165,169,162,165,165,164,160,171,164,173,174,166,168,162,165,166,167,163,159,166,162
169,163,161,168,160,171,172,166,161,165,169,162,165,165,164,160,171,164,173,174,166,168,162,165,166,167,163,159,166,162
169,163,161,168,160,171,172,166,161,165,169,162,165,165,164,160,171,164,174,174,166,168,162,165,166,167,163,159,166,163
169,163,161,168,161,171,172,166,161,165,169,162,165,165,164,160,171,164,175,174,166,168,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,162,165,165,164,160,171,164,176,174,166,168,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,163,165,165,164,160,171,164,177,174,166,168,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,163,165,165,164,160,171,164,177,174,166,168,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,163,165,165,164,161,171,164,178,175,166,168,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,163,165,165,164,161,171,164,178,175,166,168,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,163,165,165,164,161,172,164,178,175,166,168,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,163,165,165,164,161,172,164,178,175,166,168,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,163,166,165,164,161,172,164,178,175,166,169,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,163,166,165,164,161,172,164,178,175,166,169,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,163,166,165,164,161,172,164,178,175,166,169,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,163,166,165,164,161,172,164,178,175,166,170,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,163,166,165,164,161,172,164,178,175,166,170,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,163,166,165,164,161,172,164,178,175,166,170,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,163,166,165,164,161,172,164,178,175,166,170,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,163,166,165,164,161,172,164,178,175,166,170,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,163,166,165,164,161,172,164,178,175,166,170,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,163,166,165,164,161,172,165,178,175,166,170,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,163,166,165,164,161,172,165,178,175,166,170,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,163,166,165,164,161,172,165,178,175,166,170,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,163,166,165,164,161,172,165,178,175,166,170,162,165,166,167,164,159,166,163
169,163,161,168,161,171,172,167,161,165,169,163,166,165,164,161,172,165,178,175,166,170,162,165,166,167,164,159,166,163
169,163,161,168,161,172,172,167,161,165,169,163,166,165,164,161,172,165,178,175,166,170,162,165,166,167,164,159,166,163
169,163,161,168,161,172,172,167,161,165,169,163,166,165,164,161,172,165,178,175,166,170,162,165,166,167,164,159,166,163
169,163,161,168,161,172,172,167,161,165,169,163,166,165,164,161,172,165,178,175,166,170,162,165,166,167,164,159,166,163
169,163,161,168,161,172,172,167,161,165,169,163,166,165,165,161,172,165,178,175,166,170,162,165,166,167,164,159,166,163
169,163,161,168,161,172,172,167,161,165,169,163,166,165,165,161,172,165,178,175,166,170,162,165,166,167,164,159,166,163
169,163,161,168,161,172,172,167,161,165,169,163,166,165,165,161,172,165,178,175,166,170,162,165,166,167,164,159,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,166,170,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,166,170,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,166,170,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,166,170,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,166,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,166,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,166,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,166,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,166,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,166,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,166,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,166,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,167,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,167,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,167,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,167,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,167,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,167,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,167,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,167,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,167,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,167,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,167,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,167,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,167,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,167,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,167,171,162,165,166,167,164,160,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,167,171,162,165,166,167,164,161,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,167,171,162,165,166,167,164,161,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,167,171,162,165,166,167,164,161,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,167,171,162,165,166,167,164,161,166,163
170,163,161,168,161,172,172,167,161,165,170,163,166,165,165,161,172,165,178,175,167,171,162,165,166,167,164,161,166,163
