Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4,12,5,7,7,7,16,6,4,7,6,10,13,5,4,7,8,7,5,9,3,4,5,13,4,8,5,6,8
30,17,27,11,12,20,10,29,20,8,16,18,16,32,12,15,22,14,19,18,19,8,9,11,27,17,20,14,17,17
43,25,32,13,26,24,21,34,25,14,26,23,26,36,21,25,27,19,23,28,26,18,13,17,33,24,30,16,28,25
48,30,34,18,36,30,25,37,34,30,34,26,34,39,24,29,34,20,32,34,31,27,17,24,35,25,35,17,34,38
49,31,36,24,39,38,29,45,38,34,36,32,40,41,26,35,42,24,36,37,36,36,20,28,40,26,41,21,45,41
54,36,37,28,39,40,35,49,40,41,37,34,43,43,30,38,44,24,43,38,40,43,25,33,44,26,45,25,50,47
55,38,41,29,41,40,36,52,41,47,37,36,46,43,32,41,45,25,43,38,44,43,29,35,46,30,47,26,56,47
55,38,42,30,43,42,39,53,41,50,38,40,48,43,34,42,45,25,44,38,46,44,30,39,53,31,48,28,59,49
55,38,42,30,44,45,42,53,42,53,41,40,48,43,35,42,46,25,44,41,48,48,31,40,53,31,50,30,62,49
55,38,42,32,46,47,42,53,43,55,43,40,49,43,35,42,46,25,45,41,49,51,35,41,53,32,50,30,63,49
55,39,42,32,46,47,42,53,43,55,43,40,49,43,36,42,46,26,45,41,49,53,36,41,54,32,51,31,63,50
55,39,42,32,46,47,42,53,43,55,43,40,49,43,36,42,46,26,45,41,50,55,37,41,54,32,53,33,63,50
55,39,42,32,46,47,42,53,43,55,43,41,49,43,36,42,46,26,45,41,51,55,37,41,55,33,53,34,63,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,42,46,26,46,41,52,55,37,41,55,33,53,34,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,42,46,26,46,41,52,55,37,41,55,33,53,35,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,42,46,26,46,41,52,56,37,41,55,33,53,35,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,42,46,26,46,41,52,56,37,41,55,33,53,35,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,42,46,26,46,41,52,56,37,41,55,33,53,35,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,42,46,26,46,41,52,56,37,41,55,33,53,35,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,42,46,26,46,41,52,56,37,41,55,33,53,35,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,46,26,46,41,52,56,37,41,55,33,53,35,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,46,26,46,41,52,56,37,41,55,33,53,35,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,46,26,46,41,52,56,37,41,55,33,53,35,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,46,26,46,41,52,56,37,41,55,33,53,35,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,46,26,46,41,52,56,37,41,55,33,53,35,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,46,26,46,41,52,56,37,41,55,33,53,35,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,46,26,46,41,52,56,37,41,55,33,53,35,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,46,26,46,41,52,56,37,41,55,33,53,35,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,46,26,46,41,52,56,37,41,55,33,53,35,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,46,26,46,41,52,56,37,41,55,33,53,35,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,35,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,35,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,35,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,43,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
55,39,42,32,46,47,42,54,43,55,44,41,49,43,36,43,47,26,46,41,52,56,37,41,55,33,53,36,65,50
