Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed
0,0,0,0,0,0,0,0,0,0
2,3,2,1,2,1,4,1,5,2
3,3,3,5,3,4,6,3,8,4
7,7,7,8,8,7,8,7,8,5
10,8,10,12,13,9,11,13,12,8
14,13,13,16,15,14,14,16,15,13
17,16,19,21,21,17,19,22,20,17
22,22,24,26,25,20,23,25,24,23
28,28,30,32,28,26,31,34,30,28
35,34,36,39,33,29,34,37,36,34
37,38,42,45,37,35,41,43,40,41
43,46,46,52,41,38,44,47,46,45
49,50,54,56,46,43,51,52,50,52
54,51,57,63,50,48,56,58,54,58
59,55,61,66,55,54,61,63,61,62
65,60,65,71,61,60,66,69,67,65
70,65,72,75,66,63,71,77,72,72
75,67,75,82,69,65,77,81,75,75
78,72,80,88,76,71,82,86,78,79
84,76,86,95,79,75,86,91,85,82
87,80,89,97,83,80,94,94,89,87
93,85,93,104,86,85,97,97,92,89
95,87,94,107,91,87,103,99,94,90
99,90,99,109,95,91,104,103,99,92
102,91,102,114,97,95,108,106,102,93
103,94,106,118,99,97,109,109,103,94
106,97,108,119,101,100,111,112,107,96
107,99,112,120,103,102,114,113,111,98
108,101,114,121,103,104,116,115,113,98
110,103,116,123,106,105,119,117,116,100
113,106,118,126,108,107,120,119,117,102
114,107,120,128,110,107,123,121,119,103
116,109,122,131,111,109,126,123,120,105
118,109,124,131,112,109,128,124,122,106
120,111,126,132,115,111,129,127,123,108
122,112,127,134,116,113,131,128,124,109
125,114,130,137,118,116,133,130,126,111
126,114,131,139,120,118,134,132,127,112
129,116,134,141,122,120,136,134,130,113
131,118,135,142,125,121,138,136,132,114
132,120,136,144,127,123,140,138,135,116
134,121,138,146,128,125,142,139,135,117
136,123,139,148,130,128,143,140,138,119
138,125,141,149,132,130,146,142,140,121
140,128,143,150,133,132,148,143,141,122
141,129,145,150,135,134,150,146,144,124
144,131,147,150,138,135,151,147,145,126
145,133,148,151,140,138,152,148,148,128
147,136,148,151,142,140,152,149,149,129
149,139,149,151,145,141,152,150,151,130
149,141,149,151,146,141,152,150,151,133
150,144,149,151,147,143,152,150,151,135
151,147,149,151,147,145,152,151,151,136
151,147,149,151,148,146,152,151,151,137
151,149,149,151,149,148,152,151,151,139
151,150,150,151,150,149,152,151,151,141
151,151,150,151,150,150,152,151,151,142
151,151,150,151,150,150,152,151,151,144
151,151,150,151,150,150,152,151,151,144
151,151,150,151,150,150,152,151,151,147
151,151,150,151,151,151,152,151,151,147
152,151,151,151,151,151,152,151,151,147
152,151,151,152,152,151,152,151,151,149
152,152,151,152,152,151,152,151,151,150
152,152,151,152,152,151,152,151,151,150
152,152,151,152,152,151,152,151,151,150
152,152,151,152,152,151,152,151,151,150
152,152,151,152,152,151,152,151,151,150
152,152,151,152,152,151,152,151,151,151
152,152,151,152,152,151,152,151,151,152
152,152,151,152,152,151,152,151,151,152
152,152,151,152,152,151,152,151,151,152
