Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,2
0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,4
0,0,0,0,0,0,1,0,0,4,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,5
0,0,0,0,0,0,1,0,0,4,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,5
0,0,0,0,0,0,2,0,0,4,0,0,2,7,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,5
0,0,0,0,0,0,2,0,0,4,0,0,2,8,0,0,3,0,0,0,0,1,0,0,1,0,0,3,0,5
0,0,0,0,0,0,2,0,0,4,0,0,2,8,0,0,3,0,0,0,0,1,0,0,1,0,0,3,0,5
0,0,0,0,0,0,2,0,0,4,0,0,2,9,0,0,3,0,0,0,0,1,0,0,1,0,0,3,0,5
0,0,0,0,0,0,2,0,0,5,0,0,2,11,0,0,3,0,0,0,0,1,0,0,1,0,0,3,0,5
0,0,0,0,0,1,2,0,0,5,0,0,2,14,0,0,3,0,0,0,0,2,0,0,1,0,0,3,0,5
0,0,0,0,0,2,2,0,0,5,0,0,2,15,0,0,3,0,0,0,0,2,0,4,1,0,0,3,0,5
0,0,0,0,0,5,2,0,0,5,0,0,2,17,0,0,3,0,0,0,0,2,0,4,1,0,0,4,0,6
0,0,1,0,0,7,4,0,0,5,0,0,2,18,0,0,3,0,0,0,0,3,0,5,1,0,0,4,0,7
0,0,1,0,0,7,4,0,0,5,0,0,2,19,0,0,4,0,0,0,0,3,0,5,1,0,0,4,0,7
0,0,1,0,0,7,4,0,0,6,1,0,2,19,0,0,4,0,0,0,0,3,0,5,1,0,0,5,0,7
0,1,3,0,0,8,8,2,1,6,1,0,2,21,0,0,5,0,0,0,0,4,0,5,1,0,0,5,0,7
0,1,4,0,0,8,8,3,2,7,2,0,2,21,0,0,5,0,0,0,0,7,0,5,1,0,0,5,0,8
0,1,5,0,0,9,8,6,2,7,2,0,2,21,0,0,6,0,0,0,0,8,0,5,1,0,0,5,2,8
0,1,6,0,0,10,8,7,2,7,3,0,2,21,0,0,6,0,0,0,0,8,0,5,1,0,1,5,3,8
0,1,6,0,0,10,8,7,2,7,3,1,2,21,0,0,6,0,0,0,0,9,0,5,1,0,3,5,3,9
0,1,6,0,0,11,8,7,2,8,4,1,2,22,0,0,6,0,0,0,1,9,0,5,1,0,6,5,3,9
0,1,7,0,0,11,10,8,2,9,4,1,2,22,0,0,7,0,0,0,2,10,0,5,2,0,8,5,3,9
0,1,7,0,0,11,10,10,2,9,5,1,2,22,0,0,7,0,0,0,2,11,0,5,2,0,10,5,4,9
0,1,7,1,1,12,10,10,2,9,5,1,2,22,0,0,7,0,0,0,3,11,0,6,2,0,11,5,4,9
0,2,8,2,2,12,10,10,2,9,5,1,2,22,0,0,7,0,0,0,3,12,0,6,3,0,14,6,5,9
0,2,10,6,3,12,10,10,2,9,6,1,2,23,0,0,7,0,0,1,3,12,0,7,3,0,14,6,5,9
0,2,12,6,5,13,10,10,2,9,7,2,2,24,0,0,7,0,0,2,3,12,0,8,3,0,16,6,5,9
0,2,16,6,7,13,10,10,2,9,7,2,2,30,0,0,7,0,0,2,3,12,0,8,4,0,18,6,6,9
0,2,18,7,7,13,10,10,2,9,7,2,2,32,1,0,7,0,0,3,3,12,1,8,4,0,19,6,6,9
0,2,19,7,10,13,10,10,2,9,8,2,2,32,3,0,7,0,0,3,3,12,2,8,4,0,22,6,6,9
0,2,20,7,10,13,11,11,2,9,8,2,2,34,3,2,7,0,0,4,3,14,3,8,4,0,25,6,7,9
0,3,20,7,11,13,11,11,3,9,8,2,2,34,3,4,7,2,2,5,4,14,4,8,4,0,26,6,7,9
0,6,20,7,11,13,12,11,3,9,8,2,2,34,3,4,7,2,2,5,4,14,4,8,4,0,28,8,8,10
0,9,21,7,12,13,13,11,3,9,8,3,2,34,3,5,7,4,2,5,4,14,4,9,5,1,32,8,8,10
0,11,21,7,12,13,14,11,3,9,9,3,2,34,3,5,7,8,3,5,4,14,5,9,5,1,34,8,8,10
1,13,23,7,13,13,14,11,3,9,11,3,3,35,6,5,7,10,3,5,5,14,5,9,5,1,34,8,9,10
2,13,24,7,15,13,14,12,3,9,11,3,3,35,6,5,7,12,4,5,5,14,5,9,5,2,35,8,9,10
2,14,24,7,18,13,14,13,3,9,12,5,3,35,6,6,7,12,6,6,6,14,7,11,5,5,36,9,9,11
2,14,24,7,19,14,14,13,3,9,12,5,3,35,6,6,7,12,9,6,6,14,7,11,5,9,37,9,9,11
2,14,24,7,21,14,15,13,4,9,12,6,3,35,6,9,7,13,10,6,7,14,7,11,5,10,39,9,10,11
5,14,24,7,23,14,15,13,4,9,13,6,3,35,6,9,7,13,11,6,8,14,7,11,5,14,40,9,10,11
5,14,24,7,24,14,15,14,4,9,14,6,5,35,6,9,7,13,12,6,8,14,7,11,5,17,40,9,10,12
5,14,25,7,24,14,15,14,4,9,14,7,6,35,6,10,7,14,12,7,8,14,7,11,5,18,43,9,10,12
5,14,25,9,24,14,15,16,4,9,14,8,6,35,8,10,7,14,13,7,8,15,7,12,6,20,45,9,10,12
5,14,25,9,24,14,15,16,4,9,14,9,8,35,8,10,8,14,13,7,8,16,7,12,6,21,45,9,10,12
5,14,25,11,24,14,15,16,4,9,14,9,10,35,10,10,8,14,14,7,9,16,9,12,6,21,45,10,10,12
5,14,25,13,24,14,16,16,4,9,14,9,10,35,10,11,8,14,14,7,9,16,11,12,6,21,46,10,10,12
5,15,25,13,26,15,16,16,4,9,14,9,10,35,10,12,8,14,16,7,10,16,13,12,7,21,46,10,10,13
5,15,25,14,27,16,17,16,4,9,14,9,10,35,10,12,8,15,18,7,11,16,13,12,7,21,46,10,10,13
5,16,25,15,29,16,17,16,4,9,14,9,10,35,10,13,8,15,18,8,11,16,13,12,7,21,46,10,10,13
5,16,25,16,30,17,17,16,5,9,14,9,11,35,10,13,8,15,18,8,11,16,14,13,8,21,46,10,11,14
5,16,25,17,30,17,18,16,5,10,14,9,11,35,10,13,8,15,18,9,11,16,15,13,8,21,47,10,11,14
5,16,25,18,30,17,18,16,5,10,14,9,11,35,10,13,8,15,18,9,11,16,16,13,9,21,47,10,11,14
5,16,25,20,30,17,18,16,5,10,14,9,12,35,10,13,9,15,19,9,11,16,16,13,9,21,47,10,11,14
6,16,26,20,30,17,18,16,5,10,14,9,12,36,10,13,9,15,19,9,12,16,16,13,10,21,47,11,11,14
6,16,26,20,30,18,18,17,5,10,14,9,12,36,11,14,9,15,19,9,12,16,17,13,12,21,47,11,11,14
7,16,26,20,30,19,18,17,6,10,14,9,13,36,11,14,9,15,19,9,12,16,18,13,12,21,47,12,11,14
7,17,26,21,30,19,18,17,6,11,15,9,13,36,11,15,9,15,19,9,12,17,18,13,12,21,47,12,11,14
8,17,26,21,30,19,18,18,7,11,15,9,14,36,11,15,9,15,19,10,13,17,18,13,12,21,48,12,11,14
8,17,26,21,30,19,19,18,7,12,16,9,16,36,11,15,9,15,19,10,13,17,18,13,12,21,48,12,11,14
8,17,26,22,30,19,19,18,7,13,16,10,16,36,11,15,9,15,19,10,13,17,19,13,12,21,48,12,11,14
8,17,26,22,30,19,19,18,7,13,16,11,18,36,12,15,9,15,20,10,13,17,19,13,15,21,48,12,11,14
8,17,26,22,30,19,19,18,7,13,16,12,18,36,13,15,9,15,20,10,13,17,19,13,15,21,48,12,11,15
8,17,26,22,30,21,19,18,7,13,17,12,18,37,13,16,9,15,22,10,13,17,19,13,15,21,48,12,11,15
8,17,26,22,30,21,19,18,7,13,17,12,18,38,13,16,9,15,22,10,13,17,19,13,17,21,48,12,11,15
8,17,26,22,30,21,19,18,8,13,17,12,19,38,13,16,9,15,23,11,13,17,19,13,17,21,48,13,11,15
8,17,26,22,30,21,19,19,8,13,17,12,19,38,13,17,9,15,23,11,13,17,19,13,18,22,48,13,11,15
8,18,26,22,30,21,19,19,8,13,17,13,19,38,13,17,9,15,24,11,13,17,20,13,18,22,48,13,12,16
8,18,26,22,30,21,19,20,8,13,17,13,19,38,14,17,9,15,24,11,13,17,20,13,19,22,48,13,12,16
8,18,26,22,30,22,19,20,9,13,17,14,19,38,14,17,9,15,24,12,13,17,22,13,19,23,48,13,12,16
8,18,26,22,30,22,19,20,9,14,17,14,19,38,14,17,9,15,24,12,13,17,24,13,19,23,48,13,12,16
9,18,27,22,30,22,19,20,9,14,17,15,19,38,14,17,10,15,24,12,13,17,24,13,19,24,48,13,12,16
9,18,27,23,30,22,19,20,9,14,17,15,19,38,14,17,10,15,24,12,14,17,25,13,21,24,48,13,12,16
9,19,27,23,30,22,19,20,9,14,17,16,19,38,15,17,10,15,25,12,14,17,27,13,22,24,48,13,13,16
9,19,27,23,30,22,20,20,9,14,18,16,19,38,15,17,10,15,25,12,14,17,30,13,22,25,48,13,13,16
9,19,27,23,30,22,20,20,9,14,19,16,19,38,15,17,10,15,25,12,15,18,31,13,22,26,48,13,13,16
10,19,28,23,30,22,20,20,9,14,20,16,20,38,16,17,10,15,25,12,16,18,33,13,22,26,48,14,13,16
10,19,28,23,30,22,20,20,9,14,20,16,20,38,16,17,10,15,25,12,16,18,34,13,22,26,48,14,13,16
