Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,4,0,0
0,0,2,0,0,0,0,6,0,0
0,0,2,0,0,0,0,7,0,0
0,0,2,0,0,0,0,7,0,0
0,0,2,0,0,0,0,7,0,0
0,0,2,0,0,0,0,7,2,0
0,0,3,0,0,0,0,8,2,0
0,0,3,0,0,0,0,10,2,0
0,0,4,0,0,0,0,10,2,0
0,0,4,0,0,0,0,10,3,0
0,0,5,0,0,0,0,10,7,0
0,0,5,0,0,0,1,11,7,0
1,0,5,0,0,0,1,11,9,0
3,0,5,0,0,0,2,11,9,0
5,0,5,0,0,0,2,11,10,0
6,0,5,0,0,0,4,11,10,0
8,0,5,0,0,0,6,11,13,0
11,0,5,0,0,0,6,11,14,0
13,0,5,0,0,0,8,11,15,0
14,0,5,0,0,0,9,12,15,0
14,0,5,0,0,0,9,12,15,0
14,0,5,0,0,0,9,14,15,0
14,0,5,0,0,0,9,14,15,0
14,0,5,0,0,0,9,14,15,0
14,0,5,0,0,0,9,16,15,0
14,0,5,0,0,0,9,16,15,0
15,0,5,0,0,0,9,17,15,0
16,0,5,0,0,0,9,17,15,0
16,1,5,0,0,0,9,18,15,0
16,2,5,0,0,0,9,18,15,0
17,3,5,0,0,0,9,18,15,0
19,3,5,0,0,0,9,18,15,0
23,3,5,0,0,0,9,18,15,0
24,5,5,0,0,0,9,18,15,1
26,7,5,0,0,0,9,18,15,4
28,11,5,0,0,0,9,19,15,6
30,12,5,0,0,0,9,19,15,8
30,13,5,0,0,0,9,21,15,8
32,17,5,0,0,0,9,23,15,9
32,18,5,0,0,0,9,23,15,11
32,19,5,0,0,0,9,24,15,15
33,21,5,0,0,0,9,25,15,16
33,25,5,0,0,0,9,25,15,17
33,25,5,0,0,0,9,25,15,18
33,26,5,0,0,0,9,25,15,19
34,27,5,0,0,0,9,25,15,20
35,27,5,0,0,0,9,25,15,25
35,27,5,0,0,0,9,25,15,25
35,27,5,0,0,0,9,25,15,29
35,27,5,0,0,0,9,25,15,29
36,28,5,0,0,0,9,25,15,32
36,29,5,0,0,0,9,25,15,32
36,32,5,0,0,0,9,25,15,32
37,32,5,0,0,0,9,25,15,32
37,32,5,0,0,0,9,25,15,36
37,33,5,0,1,0,9,25,15,36
37,33,5,0,1,0,10,25,15,36
37,33,5,0,1,0,10,25,15,36
37,33,5,0,1,0,10,25,15,37
37,33,5,0,1,0,11,25,15,38
