Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge
0,0,0,0,0,0,0,0,0,0
2,4,2,1,3,2,4,2,3,1
2,4,2,1,3,2,4,2,3,1
2,4,2,1,3,2,4,2,3,1
2,4,2,1,3,2,4,3,3,1
2,4,2,3,3,2,4,4,3,1
2,4,2,3,3,2,4,4,3,1
2,4,2,3,3,2,4,4,3,1
2,4,2,3,3,2,4,5,3,1
2,4,2,3,3,2,4,6,3,1
2,4,2,3,3,2,4,6,3,1
2,4,2,3,3,2,4,6,3,1
2,4,2,3,3,2,4,7,3,1
2,4,2,3,3,2,4,7,3,1
2,4,2,3,3,2,4,8,3,1
2,4,3,4,3,2,4,8,3,1
2,4,6,4,3,2,4,10,3,1
2,4,6,5,3,2,4,11,3,1
2,4,6,5,3,2,4,11,4,1
2,4,6,5,3,2,4,11,5,1
2,4,7,5,3,2,4,11,7,1
2,4,8,5,3,2,4,12,7,1
2,4,8,5,3,2,4,14,8,1
2,4,9,6,3,2,4,14,8,1
2,4,9,6,3,2,4,14,9,1
2,4,10,6,3,3,5,14,13,1
2,4,10,6,3,3,6,15,13,1
3,4,10,6,3,3,6,15,17,1
5,4,10,6,3,3,7,15,17,1
9,4,10,7,3,3,8,15,18,1
10,4,10,7,3,4,10,15,18,1
12,4,10,7,3,5,12,15,21,1
17,4,10,7,3,5,12,15,22,2
19,4,10,7,3,5,14,15,23,2
20,4,10,7,3,5,15,16,23,3
20,4,10,8,3,5,15,16,23,3
20,4,10,8,3,6,15,18,23,3
20,4,10,8,3,7,15,18,23,3
20,4,10,8,3,7,15,18,23,4
20,4,10,8,3,7,15,20,23,4
20,4,11,8,3,7,15,20,23,4
21,4,11,8,4,7,15,22,23,4
22,4,11,8,4,7,15,22,23,4
22,6,11,8,4,7,15,23,23,4
22,7,11,8,4,7,15,23,23,5
23,9,11,8,4,7,15,23,23,5
25,9,12,8,6,7,16,23,23,5
30,10,12,8,6,7,16,23,23,5
31,12,12,8,6,7,17,23,23,6
33,14,12,9,7,7,18,23,23,9
35,18,13,10,8,7,18,24,23,11
37,19,13,10,8,7,18,24,23,13
37,20,13,10,8,7,18,26,23,13
39,24,13,10,8,7,18,28,23,14
39,25,13,10,8,8,19,28,23,16
39,26,13,11,8,8,19,29,23,20
40,28,13,11,8,8,19,30,23,21
40,32,13,11,8,8,19,30,23,22
40,32,13,14,9,9,19,30,24,23
40,33,13,14,9,9,19,30,24,24
41,34,13,14,9,10,20,30,24,25
42,34,13,14,10,10,20,30,24,30
42,34,13,14,10,10,20,30,24,30
42,34,13,15,10,10,21,30,25,34
42,34,14,15,10,11,21,30,25,34
43,35,15,15,10,12,21,30,26,37
43,36,15,15,10,12,21,30,26,37
43,39,15,15,10,12,21,30,26,37
44,39,15,15,10,12,21,30,27,37
44,39,15,15,11,13,21,30,27,41
44,40,15,15,13,13,21,30,27,41
