Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire
0,0,0,0,0,0,0,0,0,0
15,23,14,21,14,17,14,17,15,7
17,23,16,27,17,17,15,21,17,7
20,23,17,31,20,21,17,22,17,7
23,26,17,33,20,23,17,25,17,7
30,26,23,34,21,30,17,31,20,8
36,36,25,36,22,38,17,37,27,12
39,42,25,41,25,45,19,43,33,22
41,46,26,42,28,49,21,47,40,23
43,49,26,45,31,51,24,52,49,27
52,50,26,49,34,54,25,57,56,34
57,52,27,52,35,55,29,59,64,40
62,55,29,57,38,61,32,59,68,49
63,59,31,58,41,71,35,66,70,55
65,61,31,59,43,78,37,69,71,59
68,65,33,61,49,82,42,71,79,63
77,68,37,65,58,92,45,72,81,73
82,72,45,69,60,99,52,75,92,77
90,75,47,70,62,103,59,78,95,81
100,77,50,73,65,107,65,82,99,82
106,80,52,76,68,111,70,82,100,85
111,83,54,80,72,113,76,84,103,87
115,85,56,86,78,117,83,84,108,96
121,89,57,87,80,118,90,86,109,98
125,92,57,94,90,120,95,89,114,103
130,101,58,100,95,125,98,96,121,109
137,106,59,107,100,130,102,102,126,116
142,113,60,107,101,133,105,107,127,120
142,116,62,107,105,136,107,108,133,128
143,119,66,108,107,141,111,110,139,133
145,123,68,112,108,143,113,111,145,136
146,126,68,116,111,147,113,113,147,139
146,129,71,121,115,148,117,113,149,141
150,129,78,124,121,149,120,114,150,142
150,133,82,126,123,150,123,116,150,147
150,133,85,127,123,150,123,116,151,148
150,133,86,129,123,150,124,116,152,148
150,135,95,131,125,150,126,117,152,148
150,137,102,131,125,150,126,117,152,148
150,139,107,136,128,151,126,119,152,149
151,143,111,140,130,151,130,124,152,149
151,146,114,141,133,152,132,127,152,150
151,147,118,143,136,152,132,132,152,150
151,147,124,144,137,152,134,134,152,150
151,149,127,144,139,152,135,137,152,151
151,151,130,145,139,152,136,139,152,151
151,151,131,148,139,152,136,144,152,151
151,151,133,149,142,152,137,145,152,151
151,151,134,150,143,152,138,146,152,151
152,151,135,150,145,152,140,149,152,152
152,151,136,152,146,152,141,150,152,152
152,152,139,152,149,152,143,150,152,152
152,152,141,152,150,152,151,150,152,152
