Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,3,0,0,0,0,0,0,5,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,3,0,0,0,0,0,0,7,0,0,5,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
3,0,0,3,0,0,0,0,0,0,7,0,0,5,0,0,0,1,3,0,3,0,0,0,0,4,0,0,0,0
5,0,2,3,0,0,2,0,0,1,7,0,0,5,0,0,0,3,3,0,4,0,0,0,0,6,0,0,0,0
5,0,2,3,0,2,3,0,0,1,7,0,0,6,0,0,0,5,4,0,6,0,0,0,0,7,0,0,0,0
5,0,2,3,0,3,3,0,0,2,8,0,0,7,0,0,0,5,4,0,8,0,0,0,0,7,0,2,0,0
5,0,2,3,0,3,4,0,0,6,8,0,0,8,0,0,0,7,4,1,9,0,0,0,0,8,0,4,0,0
6,0,2,3,0,6,4,0,0,7,8,0,0,10,0,0,0,8,4,5,10,2,0,0,1,8,0,4,2,0
6,0,2,3,0,6,4,0,0,7,8,0,0,11,0,0,0,8,4,5,12,2,0,0,2,11,0,5,3,0
6,0,2,3,0,8,4,1,0,7,9,1,0,11,0,0,0,8,4,7,13,4,0,0,3,11,0,7,4,1
6,0,4,3,0,8,4,1,0,8,9,2,0,13,1,0,0,9,4,8,13,4,0,0,3,11,0,8,4,3
6,1,4,3,0,8,4,2,0,9,9,4,0,13,2,1,1,10,4,10,13,5,0,0,3,12,1,8,4,4
6,1,6,5,0,8,5,3,1,10,9,4,0,14,2,3,1,10,4,12,13,5,0,0,4,13,3,9,4,5
6,3,6,5,4,8,6,3,6,11,9,4,3,14,2,6,3,10,4,14,13,5,0,0,4,15,6,13,5,6
