Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal,Change Goal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0
0,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0
0,3,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,2,0,0
0,4,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,3,0,0
0,4,0,1,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,3,0,0
0,5,0,1,2,0,0,0,1,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,3,1,0
0,6,0,1,2,0,0,0,2,2,1,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,3,1,0
0,6,0,1,2,0,0,0,2,2,1,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,3,3,0
0,6,0,1,2,0,0,0,2,2,3,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,3,6,0
0,6,0,1,2,0,0,0,2,2,3,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,3,6,0
0,6,0,1,2,0,0,0,2,2,3,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,3,6,0
0,6,0,1,2,0,0,0,2,2,3,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,3,6,0
0,7,0,1,2,0,0,0,2,2,3,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,3,6,0
0,7,0,1,2,0,0,0,2,2,3,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,3,6,0
0,7,0,1,2,0,0,0,2,2,3,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,3,7,0
0,7,0,1,2,0,0,0,2,2,3,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,3,7,0
