Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,2,4,2,0,0,1,0,3,0,0,0,2,1,1,2,0,0,0,2,1,2,5,2,1,0
0,0,4,2,1,5,7,3,1,2,1,0,4,0,0,0,3,1,2,5,3,0,1,5,2,2,7,6,4,0
0,0,11,2,1,5,12,5,1,3,2,0,4,0,0,0,6,2,3,7,5,0,7,7,4,4,12,10,4,0
0,0,13,4,1,7,13,6,1,3,2,0,6,3,0,0,7,6,5,9,6,2,10,8,6,4,13,18,5,0
0,0,16,4,1,8,16,6,1,4,3,0,6,3,0,0,8,8,9,9,9,3,15,16,9,4,15,18,8,0
1,0,17,9,1,8,20,6,1,6,4,0,7,3,2,0,8,11,12,9,11,3,18,18,11,4,16,18,9,0
1,0,17,11,1,9,25,6,1,7,6,0,7,4,2,0,8,13,17,10,13,4,20,23,15,4,19,20,10,0
1,0,18,11,2,10,28,6,1,8,10,0,8,4,2,0,8,14,25,10,14,4,21,25,16,4,22,22,11,0
1,0,18,11,4,12,29,6,1,9,11,0,8,4,2,1,8,16,27,10,17,7,25,27,19,4,27,23,12,0
1,0,18,12,4,15,31,6,1,9,17,0,8,6,3,1,8,17,30,10,20,8,29,32,19,4,28,25,12,0
1,0,18,12,4,16,31,7,1,9,19,0,8,6,3,1,8,17,31,10,24,8,30,38,21,4,29,26,12,0
1,0,19,12,6,18,32,8,1,9,20,0,8,6,3,2,8,17,35,10,24,8,32,41,21,5,32,26,12,0
1,0,19,12,8,18,32,9,1,9,22,0,8,6,3,2,8,19,38,10,25,8,33,44,26,5,34,27,12,0
1,0,19,12,8,19,32,11,1,9,22,0,8,6,3,2,8,20,42,10,27,8,33,46,27,5,35,28,14,0
1,0,19,12,12,24,34,13,1,9,22,0,8,6,3,2,8,22,46,10,30,8,36,48,32,5,35,28,15,0
1,0,20,12,14,26,34,14,1,9,23,0,8,6,3,2,8,23,49,10,33,9,36,51,34,6,36,28,15,0
1,0,20,12,15,26,35,14,1,9,24,0,8,6,4,2,8,26,50,10,34,9,36,55,34,6,36,28,15,0
1,0,20,12,15,26,35,15,1,9,28,0,8,6,5,2,8,26,50,10,36,9,36,56,36,6,38,28,15,0
1,0,24,12,17,30,36,15,1,9,32,0,8,6,5,2,8,27,50,10,38,9,36,58,37,6,40,28,15,0
1,0,26,12,19,30,36,15,1,9,33,0,8,6,6,2,8,27,50,10,39,9,37,60,38,6,40,28,15,0
1,0,27,12,20,31,36,16,1,9,36,0,8,6,7,2,8,27,50,10,39,9,38,60,39,6,40,28,15,0
1,0,28,12,23,31,36,17,1,9,37,0,8,6,8,2,8,27,50,10,41,9,39,61,39,7,40,28,15,1
1,0,28,12,26,32,36,18,1,9,37,0,8,6,9,2,8,29,51,10,42,9,41,61,39,7,40,28,15,1
1,0,28,12,29,33,36,18,2,9,37,0,8,6,10,2,8,30,51,10,42,9,42,61,39,7,40,28,15,1
1,0,28,12,32,35,36,18,2,9,39,0,8,6,12,2,8,30,51,10,46,9,45,61,39,7,41,28,15,1
1,0,28,12,32,38,36,18,2,9,40,0,8,6,13,2,8,30,51,10,49,9,45,61,39,7,41,28,15,1
1,0,28,12,36,40,36,18,2,9,42,0,8,6,14,2,8,30,51,10,51,9,47,61,40,7,42,28,15,1
1,0,28,12,36,43,36,18,2,9,42,0,8,6,14,2,8,30,51,10,53,9,48,61,40,7,44,28,15,1
1,0,28,12,40,47,36,19,2,9,42,0,8,6,14,2,8,30,51,10,54,9,49,61,40,7,46,28,15,1
1,0,28,12,44,47,36,19,2,9,42,0,8,6,14,2,8,30,51,10,57,9,50,61,40,7,46,28,15,1
1,0,28,12,44,48,36,19,2,9,42,0,8,6,15,2,8,30,51,10,57,9,50,61,40,7,46,28,15,1
1,0,28,12,44,49,36,19,2,9,42,0,8,6,15,3,8,30,51,10,57,9,52,61,40,7,46,28,15,1
1,0,28,12,44,50,36,19,2,9,42,0,8,6,15,3,8,30,51,10,58,9,52,61,40,7,48,28,15,1
1,0,28,12,44,50,37,19,2,9,42,0,8,6,15,3,8,30,51,10,58,9,52,61,40,7,48,28,15,1
1,0,28,12,44,51,37,19,2,9,42,0,8,6,15,3,8,30,51,10,58,9,52,61,40,7,49,28,15,1
1,0,28,12,44,51,37,19,2,9,42,0,8,6,15,3,8,30,51,10,58,9,52,61,40,7,50,28,15,1
1,0,28,12,46,51,37,19,2,9,42,0,8,6,15,3,8,30,51,10,59,9,52,61,40,7,52,28,15,1
1,0,28,12,47,51,37,19,2,9,42,0,8,6,15,3,8,30,51,10,59,9,52,61,40,7,52,28,15,1
1,0,28,12,49,51,37,19,2,9,42,0,8,6,15,3,8,30,51,10,60,9,52,61,40,7,52,28,15,1
1,0,28,12,50,51,37,19,2,9,42,0,8,6,15,3,8,30,51,10,60,9,52,62,40,7,53,28,15,1
1,0,28,12,52,51,37,19,2,9,42,0,8,6,15,3,8,30,51,10,60,9,52,62,40,7,53,28,15,1
1,0,28,12,52,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,40,7,54,28,15,1
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,40,7,54,28,15,1
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,1
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,4
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,6
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,8
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,8
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,10
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,11
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,11
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,12
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,15
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,15
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,15
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,16
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,17
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,18
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,30,51,10,60,9,53,62,41,7,54,28,15,19
1,0,28,12,53,51,37,19,2,9,42,0,8,6,16,3,8,31,51,10,60,9,53,62,41,7,54,28,15,19
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,60,9,53,62,41,7,54,28,15,20
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,60,9,53,62,41,7,54,28,15,22
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,60,9,53,62,41,7,54,28,15,22
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,60,9,53,62,41,7,54,28,15,23
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,24
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,24
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,25
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,27
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,28
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,29
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,30
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,30
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,32
1,0,28,12,53,51,37,19,2,9,42,1,8,6,16,3,8,31,51,10,61,9,53,62,41,7,54,28,15,32
