Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire
0,0,0,0,0,0,0,0,0,0
16,18,25,23,17,12,18,16,10,12
18,20,29,26,24,14,24,20,12,12
20,24,31,31,28,17,29,26,15,12
29,30,34,36,35,26,36,27,20,12
34,39,34,43,44,32,42,31,25,12
41,46,37,50,48,40,44,34,33,12
48,54,39,55,50,43,48,41,47,12
62,57,39,62,50,49,50,43,60,12
73,63,40,64,50,52,57,43,77,12
80,70,44,67,50,57,63,43,85,12
84,74,45,71,51,64,68,43,92,12
84,76,45,75,52,70,71,43,96,12
88,76,45,78,53,79,75,43,102,12
89,78,45,82,53,82,77,43,105,12
89,78,45,89,53,87,80,44,110,12
89,78,45,92,53,89,80,45,114,12
89,79,45,93,53,91,82,46,116,12
89,79,45,97,53,93,82,46,116,12
89,79,45,99,53,93,83,46,117,12
89,79,45,101,53,97,83,46,117,12
89,79,45,101,53,102,83,46,117,12
89,79,45,101,53,106,83,46,117,12
89,79,45,102,53,106,83,46,117,12
89,80,45,103,53,106,83,46,117,12
89,80,45,103,53,106,83,47,117,12
89,80,45,104,53,106,83,47,117,12
89,80,45,105,53,107,83,47,117,12
89,80,45,105,53,107,83,48,117,12
89,81,45,106,53,107,83,48,117,12
89,81,45,106,53,111,83,48,117,12
89,81,45,106,53,112,83,48,117,12
89,82,45,106,53,117,83,49,117,12
89,82,45,106,53,118,83,49,117,12
89,82,45,106,53,119,83,49,117,12
89,83,45,106,53,119,83,49,119,12
89,84,45,106,53,120,83,49,119,12
89,86,45,106,53,122,83,49,119,12
89,90,45,106,53,122,83,50,120,12
89,91,45,106,53,126,83,50,121,12
89,91,45,106,53,126,83,52,121,12
89,92,45,106,53,127,83,52,121,12
89,92,45,106,53,127,83,52,121,12
89,92,45,106,53,127,83,52,121,12
89,93,45,106,53,127,83,53,121,12
89,93,45,106,53,127,84,54,121,12
89,93,45,106,53,127,85,55,121,12
89,93,45,106,53,127,85,55,121,12
89,93,45,106,53,127,89,56,121,12
89,93,45,106,53,127,91,56,121,12
