Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed,Agents Removed
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,2,0,4
0,0,0,0,0,0,0,3,0,6
0,0,0,0,1,0,0,4,0,8
1,0,0,0,4,0,0,6,0,10
2,0,0,0,5,0,0,6,0,11
2,0,2,0,7,0,0,9,1,11
5,1,2,0,8,0,1,11,2,12
9,3,4,0,10,0,3,15,4,12
13,8,5,0,11,0,6,18,5,12
16,12,7,1,14,0,9,21,8,12
22,14,9,1,16,0,13,24,11,12
25,17,10,2,17,3,15,26,15,12
29,22,11,2,18,6,20,27,17,12
35,24,13,7,20,9,24,28,24,12
40,28,16,11,23,12,31,30,27,12
45,32,16,15,24,16,34,31,34,12
50,35,17,20,26,19,38,33,36,12
54,40,19,24,29,22,43,34,41,12
56,44,20,27,31,27,46,37,44,12
62,48,20,31,32,31,50,39,49,12
64,52,22,33,34,34,53,41,53,12
66,57,24,38,36,37,56,42,58,12
68,62,26,41,38,42,58,43,61,12
70,65,27,46,41,45,61,44,65,12
71,69,30,50,42,50,64,44,69,12
74,71,30,52,43,52,66,45,71,12
77,73,33,55,45,58,68,45,74,12
78,75,35,56,48,59,68,45,78,12
79,75,37,59,50,61,70,45,82,12
82,77,38,62,50,66,72,45,82,12
83,78,40,66,53,69,74,46,84,12
84,78,42,66,53,72,74,46,85,12
86,78,43,70,53,75,76,46,86,12
86,78,44,72,53,79,78,46,89,12
87,78,45,75,53,81,78,47,90,12
88,78,45,77,53,84,79,47,92,12
88,79,45,80,53,84,80,47,94,12
88,81,45,80,53,87,80,47,95,12
88,82,45,82,53,88,80,47,98,12
88,86,45,84,53,91,80,47,100,12
88,86,45,86,53,94,80,47,105,12
88,87,45,88,53,95,81,47,107,12
88,89,45,90,53,99,81,47,109,12
89,90,45,91,53,102,81,47,111,12
89,91,45,94,53,107,82,47,115,12
89,91,45,96,53,109,82,48,117,12
89,91,45,98,53,113,82,49,117,12
89,92,45,99,53,114,82,49,119,12
89,92,45,100,53,116,82,49,119,12
89,92,45,101,53,117,82,49,120,12
89,92,45,101,53,119,82,49,120,12
89,92,45,101,53,121,83,49,120,12
89,92,45,103,53,122,83,49,120,12
89,92,45,103,53,125,83,49,120,12
89,92,45,103,53,126,83,49,120,12
89,92,45,103,53,126,83,49,120,12
89,94,45,103,53,126,84,50,120,12
89,94,45,103,53,126,85,51,120,12
89,95,45,103,53,126,86,52,120,12
