Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge,Exit Knowledge
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,7,15,16,13,15,15,15,14,9,8,16,15,13,14,15,13,14,15,15,13,16,12,17,17,16,17,14,20
16,10,7,15,16,13,15,15,15,14,11,8,16,16,13,14,15,13,14,15,15,13,16,12,17,19,16,17,14,20
16,10,7,15,16,13,15,15,15,14,12,8,16,17,13,14,15,13,15,15,17,13,16,12,17,19,16,17,14,20
16,10,8,15,16,13,15,15,15,14,12,8,16,17,13,14,15,13,15,15,17,13,16,12,17,20,16,17,14,20
18,10,9,15,16,13,15,15,15,16,13,8,16,17,13,14,15,13,15,15,17,13,16,12,17,22,16,17,14,20
19,10,9,15,16,14,15,15,15,16,13,8,16,18,13,14,15,14,15,15,18,13,16,12,17,22,16,17,14,20
19,10,9,15,16,15,15,15,15,17,13,8,16,18,13,14,15,17,15,16,18,13,16,12,17,22,16,19,14,20
19,10,9,15,16,15,15,15,15,18,13,8,16,18,13,14,15,17,15,16,18,14,16,12,18,22,16,19,14,20
19,10,9,15,16,15,15,15,15,18,14,8,16,18,13,14,15,17,15,16,19,15,16,12,18,22,16,19,14,20
19,10,9,15,16,16,16,15,15,18,14,8,16,18,13,14,15,17,15,16,19,15,16,12,18,24,16,19,14,20
20,10,10,15,17,17,16,15,15,20,14,8,16,18,13,14,15,17,15,18,19,15,16,12,18,24,16,21,15,20
20,10,11,15,17,17,16,15,15,20,14,8,16,19,14,14,15,17,15,20,19,15,16,12,18,25,16,21,15,20
20,10,12,16,17,17,16,15,15,20,15,9,16,19,14,16,15,17,15,21,19,16,16,12,19,25,17,21,15,22
20,12,13,16,17,17,16,16,15,20,15,11,16,20,14,16,16,19,15,25,19,16,16,12,19,26,20,23,15,22
20,15,14,17,18,17,16,16,16,20,15,13,17,20,14,16,19,19,15,26,19,16,16,12,19,27,22,25,15,22
20,15,15,18,22,17,17,17,18,21,15,15,17,21,14,18,20,19,15,27,19,16,16,12,20,28,24,26,16,22
20,15,15,18,22,18,18,17,19,24,15,17,18,21,14,20,24,19,15,27,19,17,16,12,20,29,24,27,18,23
20,16,15,18,22,18,18,17,19,25,15,17,18,21,15,20,25,19,16,28,19,18,16,12,20,32,24,27,18,23
21,16,16,18,22,18,18,17,22,26,16,17,19,22,18,22,29,19,16,30,19,18,17,12,21,35,26,27,18,23
21,17,16,18,23,19,18,17,23,28,17,18,19,23,22,24,29,20,16,33,19,19,18,13,21,35,26,28,19,23
21,19,18,18,24,19,18,17,24,29,17,18,19,24,23,24,32,20,16,33,19,19,24,15,21,37,27,30,19,24
