Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread,Exit Knowledge Spread
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,4,2,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,3,1,0,0
1,1,0,0,0,5,5,4,2,0,0,0,0,2,4,1,1,3,0,2,3,1,3,1,3,2,6,3,0,0
3,1,0,0,0,6,7,5,3,0,0,5,0,4,5,4,3,3,0,4,4,2,8,1,3,3,7,4,0,0
3,1,0,2,0,9,10,6,3,0,0,5,0,5,7,7,6,4,0,10,6,2,9,4,4,3,9,4,0,0
4,2,0,4,0,12,12,6,6,0,0,7,10,9,9,15,9,4,0,13,8,2,13,5,6,3,12,8,0,0
5,5,0,6,0,15,13,11,7,0,1,8,13,14,10,19,10,5,0,18,9,2,19,6,12,4,15,12,0,0
8,5,0,7,0,17,16,21,8,0,1,8,15,16,10,21,11,5,0,22,10,3,23,7,16,4,17,12,0,1
9,5,0,7,0,19,24,23,8,0,1,11,19,20,10,26,13,7,0,24,11,4,26,8,21,4,21,12,0,1
9,7,0,7,0,25,27,26,8,0,1,14,23,24,10,27,14,7,1,27,11,4,30,17,21,4,21,13,0,1
9,7,0,7,0,26,31,27,9,0,1,16,25,25,10,28,15,8,1,27,12,4,34,18,22,7,22,13,0,1
9,8,0,7,0,28,39,27,9,0,1,21,31,25,10,28,16,8,1,28,14,4,35,21,24,10,24,13,0,1
9,8,0,8,0,29,39,28,9,0,1,24,34,27,10,28,16,8,2,31,14,5,36,23,27,11,24,13,0,1
9,10,0,8,0,31,41,29,10,0,1,27,37,27,10,28,16,8,2,31,15,5,36,28,29,14,25,14,0,1
9,12,0,8,0,31,41,29,10,0,1,32,37,27,10,29,16,8,2,35,15,5,37,33,29,14,29,14,0,1
10,12,0,8,0,32,42,29,12,0,1,37,38,28,10,29,16,9,4,37,15,5,38,36,31,14,30,15,0,1
11,17,0,8,0,33,42,29,13,0,1,39,39,29,10,29,16,12,5,37,15,5,39,38,31,15,32,16,0,1
12,17,0,8,0,34,42,29,13,0,1,40,40,31,10,29,16,14,5,38,15,5,39,39,31,17,33,17,0,1
12,18,0,9,0,37,42,29,13,0,1,42,40,32,10,29,16,14,5,39,15,5,39,40,31,17,35,18,0,1
12,20,0,9,0,37,42,29,13,0,1,46,43,32,10,29,16,17,7,42,15,5,42,42,31,17,39,18,0,1
12,20,0,9,0,39,42,29,13,0,1,46,44,34,10,29,16,23,8,42,15,5,42,46,31,19,41,18,0,1
12,21,0,9,0,39,42,29,13,0,1,46,45,35,10,29,16,25,9,45,15,6,42,47,31,19,42,18,0,1
12,22,0,9,0,39,42,29,13,0,1,46,47,36,10,29,16,29,12,45,16,7,42,49,32,19,42,18,0,1
12,22,0,9,0,40,42,29,13,0,1,46,47,37,11,29,16,31,14,45,16,7,42,49,34,19,44,18,0,1
12,22,0,9,0,40,42,30,13,1,1,46,47,38,11,29,16,36,15,46,16,7,42,50,34,19,44,18,0,1
12,22,0,9,0,40,42,30,13,1,1,46,48,38,11,29,16,38,15,46,16,7,42,50,34,19,46,18,0,1
12,22,0,9,0,40,42,31,13,1,1,46,49,38,11,29,16,42,15,46,16,7,42,52,34,19,46,18,0,1
12,22,0,9,0,40,42,31,13,1,1,46,49,38,11,29,16,42,15,46,16,7,42,52,34,19,46,18,0,1
12,22,0,9,0,40,42,31,13,1,1,47,49,40,11,29,16,42,15,46,16,7,42,52,34,20,46,18,0,1
12,22,0,9,0,40,42,31,13,1,1,47,49,40,11,29,16,43,15,46,16,7,42,52,34,20,46,18,0,1
12,22,0,9,0,40,42,31,13,1,1,47,49,41,11,29,16,43,15,46,16,7,42,52,34,20,47,18,0,1
12,22,0,9,0,41,42,32,13,2,1,47,49,41,11,29,16,43,15,46,16,7,42,52,34,20,47,18,0,1
13,22,0,9,0,41,42,32,13,2,1,47,49,41,11,29,16,43,15,46,16,7,42,52,34,20,48,18,0,1
13,22,0,9,0,41,42,32,13,2,1,47,49,42,11,29,16,44,15,46,16,7,42,53,34,20,48,18,0,1
13,22,0,9,0,41,42,32,13,4,1,47,49,42,11,29,16,44,15,47,16,7,42,53,34,20,48,18,0,1
13,22,0,9,0,41,42,32,13,4,1,47,49,44,11,31,16,44,15,47,16,7,42,53,34,20,48,18,0,1
13,22,0,9,0,41,42,32,13,8,1,47,49,45,11,34,16,44,15,47,16,7,42,53,34,20,48,18,0,1
13,22,0,9,0,41,42,32,13,10,1,47,49,45,12,35,16,44,15,47,16,7,42,53,34,20,48,18,0,1
13,22,0,9,0,41,42,32,13,14,1,47,49,46,12,35,16,44,15,47,16,7,42,53,34,20,48,18,0,1
13,22,0,9,0,41,42,32,13,16,1,47,49,49,12,35,16,44,15,47,16,7,42,54,34,20,48,18,0,1
13,22,0,9,0,41,42,32,13,19,1,47,49,51,13,35,16,45,15,47,16,7,42,54,34,20,48,18,0,1
13,22,0,9,0,41,42,32,13,21,1,47,50,52,13,35,16,46,15,47,16,7,42,54,36,20,48,18,0,1
14,22,0,9,0,41,42,32,13,24,1,47,50,54,13,36,16,46,15,47,16,7,42,54,36,20,48,18,0,1
14,22,0,9,0,41,42,32,13,25,1,47,50,56,13,37,16,49,15,47,16,7,42,54,36,20,48,18,0,1
14,22,0,9,0,41,42,32,13,26,1,47,50,56,13,37,16,53,15,47,16,7,42,54,36,20,48,18,0,1
15,22,0,9,0,41,42,33,13,31,1,47,50,57,13,37,16,58,15,47,16,7,42,54,37,20,48,18,0,1
15,22,0,9,0,41,42,33,13,32,1,47,50,57,13,37,16,63,15,47,16,7,42,54,39,20,48,18,0,1
15,22,0,9,0,41,42,33,13,32,1,47,50,57,13,37,16,65,15,47,16,7,42,54,40,20,48,18,0,1
15,22,0,9,0,41,42,33,13,33,1,47,50,57,13,37,16,67,15,47,16,7,42,54,41,20,48,18,0,1
15,22,0,9,0,41,42,33,13,34,1,47,50,57,13,37,16,69,15,47,16,7,42,54,44,20,48,18,0,1
15,22,0,9,0,41,42,35,13,34,1,47,50,57,13,37,16,69,15,47,16,7,42,54,48,20,48,18,0,1
15,22,0,9,0,41,42,35,13,36,1,47,50,57,13,37,16,69,15,47,16,7,42,54,48,20,48,18,0,1
15,22,0,9,0,41,42,37,13,37,1,47,50,57,13,37,16,70,15,47,16,7,42,54,48,20,48,18,0,1
16,22,0,9,0,41,42,37,13,39,1,47,50,57,13,37,16,70,15,47,16,7,42,54,48,20,48,18,0,1
16,22,0,9,0,41,42,37,13,39,1,47,51,57,13,37,16,70,15,47,16,7,42,54,48,20,48,18,0,1
16,22,0,9,0,41,42,38,13,42,1,47,51,57,13,37,16,70,15,47,16,7,42,54,48,20,48,18,0,1
16,22,0,9,0,41,42,38,13,45,1,47,51,57,13,37,16,70,15,47,16,7,42,54,48,20,48,18,0,1
16,22,0,9,0,41,42,38,13,48,1,47,52,57,13,37,16,70,15,47,16,7,42,54,48,20,48,18,0,1
16,22,0,9,0,41,42,38,13,49,1,47,53,57,13,37,16,70,15,47,16,7,42,54,48,20,48,18,0,1
16,22,0,9,0,41,42,38,13,52,1,47,53,57,13,37,16,70,15,47,16,7,42,54,48,20,48,18,0,1
16,22,0,9,0,41,42,38,13,55,1,47,53,57,13,37,16,70,15,47,16,7,42,54,48,20,48,18,0,1
16,22,0,9,0,41,42,38,13,58,1,47,53,57,13,37,16,70,15,47,16,7,42,54,48,20,48,18,0,1
16,22,0,9,0,41,42,38,13,62,1,47,53,57,13,37,16,70,15,47,16,7,42,54,48,20,48,18,0,1
16,22,0,9,0,41,42,38,13,66,1,47,54,57,13,37,16,70,15,47,16,7,42,54,48,20,48,18,0,1
16,22,0,9,0,41,42,38,13,67,1,47,54,57,13,37,16,70,15,47,16,7,42,54,48,20,48,18,0,1
16,22,0,9,0,41,42,38,13,67,1,47,54,57,13,37,16,70,15,47,16,7,42,54,48,20,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,47,54,57,13,37,16,70,15,47,16,7,42,54,48,20,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,47,54,57,13,37,16,70,15,47,16,7,42,54,48,20,48,18,0,1
16,22,0,9,0,41,42,38,13,68,1,47,54,57,13,37,16,70,15,47,16,7,42,54,48,20,48,18,0,1
