Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,17,9,19,14,17,17,15,20,12,17,17,21,15,16,14,20,19,9,10,14,18,16,7,20,17,14,11,18,14
24,20,10,25,18,19,23,25,23,13,20,18,23,15,17,16,21,22,11,11,15,21,19,10,28,17,18,13,22,15
26,23,10,27,21,27,27,31,25,14,24,24,28,20,17,29,27,24,12,13,16,22,26,13,31,17,24,15,25,16
33,26,12,33,24,33,34,33,28,14,26,25,34,23,19,33,32,25,15,17,17,26,31,17,37,20,29,19,28,16
43,29,12,35,25,39,38,38,35,15,32,27,37,31,24,42,40,28,15,21,17,30,37,18,45,22,35,25,31,20
48,33,14,42,30,48,43,43,45,15,36,27,42,36,26,51,44,31,16,26,21,36,43,19,50,24,40,27,31,22
52,36,14,43,31,55,45,45,50,17,38,33,46,45,29,57,49,33,16,30,24,39,47,21,60,28,45,33,34,24
54,41,14,44,32,69,51,46,57,18,40,37,54,54,31,65,51,34,16,37,29,44,56,25,63,30,47,44,35,24
54,45,14,47,33,83,56,50,62,20,42,43,56,59,31,80,54,36,17,46,41,44,72,30,68,36,52,46,36,24
59,51,16,48,33,93,64,58,67,20,43,48,58,61,32,88,65,37,19,59,46,44,79,31,71,40,54,52,39,24
59,56,16,50,33,103,72,60,76,20,44,50,64,67,34,98,69,41,23,65,59,44,84,34,78,44,55,55,41,24
59,59,17,51,33,116,80,61,84,20,44,56,69,71,35,103,70,43,26,70,65,44,89,38,84,50,60,64,41,24
60,62,17,52,33,119,81,66,88,20,44,65,81,78,35,103,71,47,27,78,67,44,95,46,88,55,65,71,41,24
61,65,17,53,33,127,84,72,91,20,44,74,89,84,35,106,71,50,31,85,70,44,103,54,93,60,73,72,41,24
62,68,17,53,33,131,88,79,96,20,44,87,98,88,39,108,71,50,34,89,72,44,109,69,94,63,81,75,41,24
62,69,17,53,33,136,98,85,97,20,44,90,103,88,39,109,71,51,35,98,74,44,113,78,95,68,93,75,41,24
62,70,17,53,33,139,101,92,97,20,44,99,107,89,40,109,71,52,36,103,78,44,119,82,99,74,102,78,41,24
62,71,17,54,33,140,101,95,97,20,44,101,113,90,40,109,71,54,36,105,80,44,123,97,100,80,108,78,41,24
62,74,17,54,33,141,102,97,98,20,44,112,115,93,41,109,71,59,39,107,80,44,126,102,105,86,117,79,41,24
62,75,17,54,33,143,102,98,98,20,44,117,120,95,43,109,71,66,42,111,80,44,129,109,106,94,118,80,41,24
62,79,17,55,33,143,102,98,98,20,44,118,122,95,43,109,71,70,51,111,81,44,129,114,106,101,121,80,41,24
62,80,17,55,33,144,103,98,98,20,44,119,122,96,43,109,71,77,56,112,81,44,129,115,106,101,124,80,41,24
62,84,17,55,33,144,103,98,98,20,44,119,122,98,43,109,71,81,60,113,81,44,129,118,106,101,125,80,41,24
62,91,17,55,33,144,104,98,100,21,44,119,122,99,45,109,71,88,62,114,81,44,129,120,106,102,127,80,41,24
62,96,17,55,33,144,105,100,100,21,44,119,122,99,47,109,71,88,62,116,81,44,130,121,108,103,128,80,41,24
62,101,17,55,33,144,106,100,100,22,44,119,122,99,49,109,71,91,63,117,81,44,130,124,108,104,129,80,41,24
62,104,17,55,33,145,106,101,100,22,44,119,122,101,50,109,71,95,63,117,81,44,130,127,108,104,129,80,41,24
62,105,17,56,33,145,107,101,100,22,44,119,122,101,52,109,71,97,64,117,81,44,130,127,108,104,133,80,41,24
62,105,17,56,33,145,107,101,100,23,44,119,122,104,54,109,71,99,64,118,81,44,130,128,108,105,135,80,41,24
62,105,17,56,33,145,107,101,100,23,44,119,122,105,56,111,71,99,64,118,81,44,130,129,108,105,137,80,41,24
62,105,17,56,33,145,107,101,100,25,44,119,122,109,56,111,71,105,64,118,81,44,130,129,108,106,140,80,41,24
64,105,17,56,33,146,107,101,100,27,44,119,122,113,56,111,71,106,64,119,81,44,130,129,108,106,140,80,41,24
65,105,17,56,33,146,107,101,100,28,44,119,122,117,56,111,71,106,64,121,81,44,130,129,108,106,141,80,41,24
67,106,17,56,33,146,107,101,100,32,44,119,122,122,59,115,71,106,64,122,81,44,130,129,108,106,141,80,41,24
69,106,17,56,33,146,107,101,100,35,44,119,122,127,60,116,71,106,64,122,81,44,130,130,108,106,141,80,41,24
70,106,17,56,33,146,107,101,100,37,44,119,122,127,61,118,71,106,64,122,81,44,130,130,108,106,141,80,41,24
71,106,17,56,33,146,107,101,100,39,44,119,122,130,62,120,71,107,64,122,81,44,130,130,109,106,141,80,41,24
71,106,17,56,33,146,107,102,100,42,44,119,122,134,63,122,71,109,64,122,81,44,130,130,109,106,141,80,41,24
71,106,17,56,33,146,107,102,100,46,44,119,122,135,63,125,71,112,64,124,81,44,130,130,109,106,141,80,41,24
73,106,17,56,33,146,107,102,100,47,44,119,122,135,63,127,71,113,64,124,81,44,130,130,109,106,141,80,41,24
73,106,17,56,33,146,107,102,100,49,44,119,123,137,63,130,71,115,64,125,81,44,130,130,110,106,141,80,41,24
